Date,DLR
2012-03-21,72.480003
2012-03-22,71.66999799999999
2012-03-23,72.68
2012-03-26,73.339996
2012-03-27,73.309998
2012-03-28,73.07
2012-03-29,72.93
2012-03-30,73.970001
2012-04-02,74.360001
2012-04-03,73.91999799999999
2012-04-04,73.599998
2012-04-05,73.449997
2012-04-09,73.260002
2012-04-10,71.68
2012-04-11,71.860001
2012-04-12,72.57
2012-04-13,72.790001
2012-04-16,73.809998
2012-04-17,74.949997
2012-04-18,74.589996
2012-04-19,74.610001
2012-04-20,73.629997
2012-04-23,72.879997
2012-04-24,73.08000200000001
2012-04-25,74.360001
2012-04-26,73.75
2012-04-27,74.970001
2012-04-30,75.089996
2012-05-01,75.480003
2012-05-02,75.650002
2012-05-03,74.809998
2012-05-04,73.91999799999999
2012-05-07,73.83000200000001
2012-05-08,73.940002
2012-05-09,73.489998
2012-05-10,73.059998
2012-05-11,73.339996
2012-05-14,72.519997
2012-05-15,72.860001
2012-05-16,72.18
2012-05-17,69.360001
2012-05-18,68.480003
2012-05-21,69.760002
2012-05-22,69.989998
2012-05-23,70.93
2012-05-24,71.230003
2012-05-25,71.07
2012-05-29,71.940002
2012-05-30,70.019997
2012-05-31,70.769997
2012-06-01,69.58000200000001
2012-06-04,69.139999
2012-06-05,70.209999
2012-06-06,71.879997
2012-06-07,70.860001
2012-06-08,72.239998
2012-06-11,70.66999799999999
2012-06-12,71.650002
2012-06-13,71.879997
2012-06-14,73.120003
2012-06-15,74.040001
2012-06-18,74.489998
2012-06-19,75.32
2012-06-20,74.720001
2012-06-21,74.0
2012-06-22,73.739998
2012-06-25,73.25
2012-06-26,72.839996
2012-06-27,72.709999
2012-06-28,73.610001
2012-06-29,75.07
2012-07-02,75.83000200000001
2012-07-03,76.489998
2012-07-05,76.709999
2012-07-06,77.029999
2012-07-09,77.910004
2012-07-10,76.769997
2012-07-11,76.839996
2012-07-12,77.589996
2012-07-13,78.779999
2012-07-16,78.809998
2012-07-17,80.309998
2012-07-18,76.309998
2012-07-19,73.230003
2012-07-20,73.510002
2012-07-23,73.739998
2012-07-24,74.379997
2012-07-25,75.379997
2012-07-26,76.379997
2012-07-27,78.059998
2012-07-30,78.83000200000001
2012-07-31,78.07
2012-08-01,77.199997
2012-08-02,76.650002
2012-08-03,76.949997
2012-08-06,76.910004
2012-08-07,76.099998
2012-08-08,75.739998
2012-08-09,76.199997
2012-08-10,76.25
2012-08-13,76.300003
2012-08-14,76.260002
2012-08-15,76.110001
2012-08-16,76.440002
2012-08-17,76.599998
2012-08-20,75.650002
2012-08-21,74.93
2012-08-22,75.610001
2012-08-23,74.550003
2012-08-24,74.230003
2012-08-27,74.279999
2012-08-28,74.25
2012-08-29,74.720001
2012-08-30,74.809998
2012-08-31,74.510002
2012-09-04,74.83000200000001
2012-09-05,74.089996
2012-09-06,74.529999
2012-09-07,73.410004
2012-09-10,73.220001
2012-09-11,73.370003
2012-09-12,72.360001
2012-09-13,73.839996
2012-09-14,74.660004
2012-09-17,73.449997
2012-09-18,73.260002
2012-09-19,71.989998
2012-09-20,69.019997
2012-09-21,69.230003
2012-09-24,68.800003
2012-09-25,67.370003
2012-09-26,68.269997
2012-09-27,68.650002
2012-09-28,69.849998
2012-10-01,69.010002
2012-10-02,68.860001
2012-10-03,69.709999
2012-10-04,68.790001
2012-10-05,68.150002
2012-10-08,68.050003
2012-10-09,67.529999
2012-10-10,67.370003
2012-10-11,67.029999
2012-10-12,66.07
2012-10-15,65.739998
2012-10-16,66.949997
2012-10-17,66.5
2012-10-18,66.389999
2012-10-19,65.239998
2012-10-22,64.779999
2012-10-23,63.919998
2012-10-24,63.700001
2012-10-25,64.120003
2012-10-26,61.150002
2012-10-31,61.43
2012-11-01,60.299999
2012-11-02,59.98
2012-11-05,59.279999
2012-11-06,60.68
2012-11-07,61.450001
2012-11-08,61.290001000000004
2012-11-09,61.360001000000004
2012-11-12,61.77
2012-11-13,61.950001
2012-11-14,60.34
2012-11-15,61.0
2012-11-16,61.889998999999996
2012-11-19,62.68
2012-11-20,63.709998999999996
2012-11-21,63.400002
2012-11-23,64.379997
2012-11-26,64.129997
2012-11-27,64.260002
2012-11-28,64.290001
2012-11-29,64.33000200000001
2012-11-30,64.540001
2012-12-03,65.709999
2012-12-04,65.83000200000001
2012-12-05,65.589996
2012-12-06,65.650002
2012-12-07,65.93
2012-12-10,66.400002
2012-12-11,67.339996
2012-12-12,66.650002
2012-12-13,66.57
2012-12-14,66.050003
2012-12-17,65.720001
2012-12-18,66.58000200000001
2012-12-19,67.720001
2012-12-20,67.839996
2012-12-21,67.379997
2012-12-24,67.620003
2012-12-26,67.5
2012-12-27,67.690002
2012-12-28,67.690002
2012-12-31,67.889999
2013-01-02,68.760002
2013-01-03,68.480003
2013-01-04,68.720001
2013-01-07,68.610001
2013-01-08,68.5
