Date,BPOP
1982-02-25,2.416667
1982-02-26,2.416667
1982-03-01,2.416667
1982-03-02,2.416667
1982-03-03,2.416667
1982-03-04,2.416667
1982-03-05,2.416667
1982-03-08,2.416667
1982-03-09,2.416667
1982-03-10,2.416667
1982-03-11,2.416667
1982-03-12,2.416667
1982-03-15,2.416667
1982-03-16,2.5
1982-03-17,2.5
1982-03-18,2.5
1982-03-19,2.5
1982-03-22,2.5
1982-03-23,2.5
1982-03-24,2.416667
1982-03-25,2.416667
1982-03-26,2.416667
1982-03-29,2.416667
1982-03-30,2.416667
1982-03-31,2.416667
1982-04-01,2.333333
1982-04-02,2.333333
1982-04-05,2.333333
1982-04-06,2.333333
1982-04-07,2.083333
1982-04-08,2.083333
1982-04-12,2.083333
1982-04-13,2.083333
1982-04-14,2.0
1982-04-15,2.083333
1982-04-16,2.083333
1982-04-19,2.083333
1982-04-20,2.166667
1982-04-21,2.166667
1982-04-22,2.166667
1982-04-23,2.25
1982-04-26,2.291667
1982-04-27,2.291667
1982-04-28,2.291667
1982-04-29,2.25
1982-04-30,2.333333
1982-05-03,2.333333
1982-05-04,2.333333
1982-05-05,2.333333
1982-05-06,2.333333
1982-05-07,2.333333
1982-05-10,2.333333
1982-05-11,2.333333
1982-05-12,2.333333
1982-05-13,2.333333
1982-05-14,2.416667
1982-05-17,2.416667
1982-05-18,2.416667
1982-05-19,2.416667
1982-05-20,2.416667
1982-05-21,2.416667
1982-05-24,2.416667
1982-05-25,2.416667
1982-05-26,2.416667
1982-05-27,2.416667
1982-05-28,2.416667
1982-06-01,2.333333
1982-06-02,2.333333
1982-06-03,2.333333
1982-06-04,2.333333
1982-06-07,2.333333
1982-06-08,2.333333
1982-06-09,2.333333
1982-06-10,2.333333
1982-06-11,2.333333
1982-06-14,2.333333
1982-06-15,2.333333
1982-06-16,2.333333
1982-06-17,2.333333
1982-06-18,2.333333
1982-06-21,2.333333
1982-06-22,2.333333
1982-06-23,2.333333
1982-06-24,2.333333
1982-06-25,2.333333
1982-06-28,2.333333
1982-06-29,2.333333
1982-06-30,2.333333
1982-07-01,2.333333
1982-07-02,2.333333
1982-07-06,2.375
1982-07-07,2.375
1982-07-08,2.333333
1982-07-09,2.375
1982-07-12,2.375
1982-07-13,2.375
1982-07-14,2.375
1982-07-15,2.375
1982-07-16,2.416667
1982-07-19,2.416667
1982-07-20,2.416667
1982-07-21,2.416667
1982-07-22,2.458333
1982-07-23,2.458333
1982-07-26,2.458333
1982-07-27,2.458333
1982-07-28,2.458333
1982-07-29,2.458333
1982-07-30,2.458333
1982-08-02,2.458333
1982-08-03,2.458333
1982-08-04,2.458333
1982-08-05,2.416667
1982-08-06,2.416667
1982-08-09,2.333333
1982-08-10,2.333333
1982-08-11,2.416667
1982-08-12,2.416667
1982-08-13,2.416667
1982-08-16,2.416667
1982-08-17,2.416667
1982-08-18,2.416667
1982-08-19,2.416667
1982-08-20,2.416667
1982-08-23,2.416667
1982-08-24,2.416667
1982-08-25,2.416667
1982-08-26,2.416667
1982-08-27,2.416667
1982-08-30,2.5
1982-08-31,2.5
1982-09-01,2.5
1982-09-02,2.5
1982-09-03,2.5
1982-09-07,2.5
1982-09-08,2.583333
1982-09-09,2.583333
1982-09-10,2.583333
1982-09-13,2.583333
1982-09-14,2.583333
1982-09-15,2.583333
1982-09-16,2.583333
1982-09-17,2.583333
1982-09-20,2.583333
1982-09-21,2.583333
1982-09-22,2.583333
1982-09-23,2.583333
1982-09-24,2.583333
1982-09-27,2.583333
1982-09-28,2.583333
1982-09-29,2.583333
1982-09-30,2.583333
1982-10-01,2.666667
1982-10-04,2.666667
1982-10-05,2.666667
1982-10-06,2.708333
1982-10-07,2.833333
1982-10-08,2.833333
1982-10-11,2.833333
1982-10-12,2.833333
1982-10-13,2.958333
1982-10-14,3.083333
1982-10-15,3.083333
