Date,LILAK
2017-04-18,22.540001
2017-04-19,22.52
2017-04-20,22.610001
2017-04-21,22.389999
2017-04-24,22.42
2017-04-25,22.370001000000002
2017-04-26,22.41
2017-04-27,22.110001
2017-04-28,21.84
2017-05-01,21.84
2017-05-02,21.709999
2017-05-03,21.549999
2017-05-04,20.5
2017-05-05,21.139999
2017-05-08,22.4
2017-05-09,21.52
2017-05-10,21.07
2017-05-11,20.59
2017-05-12,20.5
2017-05-15,21.1
2017-05-16,21.15
2017-05-17,20.33
2017-05-18,20.030001000000002
2017-05-19,19.93
2017-05-22,20.879998999999998
2017-05-23,20.959999
2017-05-24,20.73
2017-05-25,20.77
2017-05-26,20.559998999999998
2017-05-30,20.5
2017-05-31,20.959999
2017-06-01,21.49
2017-06-02,21.469998999999998
2017-06-05,21.690001000000002
2017-06-06,21.370001000000002
2017-06-07,20.879998999999998
2017-06-08,20.6
2017-06-09,20.1
2017-06-12,19.92
2017-06-13,19.98
2017-06-14,19.950001
2017-06-15,19.860001
2017-06-16,20.15
2017-06-19,20.33
2017-06-20,19.809998999999998
2017-06-21,20.25
2017-06-22,20.290001
2017-06-23,20.549999
2017-06-26,20.75
2017-06-27,20.889999
2017-06-28,21.049999
2017-06-29,21.01
2017-06-30,21.41
2017-07-03,21.620001000000002
2017-07-05,21.610001
2017-07-06,21.59
2017-07-07,21.76
2017-07-10,24.200001
2017-07-11,24.83
2017-07-12,24.65
2017-07-13,25.700001
2017-07-14,26.030001000000002
2017-07-17,26.129998999999998
2017-07-18,25.879998999999998
2017-07-19,25.459999
2017-07-20,25.41
2017-07-21,25.5
2017-07-24,25.139999
2017-07-25,25.129998999999998
2017-07-26,25.459999
2017-07-27,25.469998999999998
2017-07-28,25.49
2017-07-31,25.52
2017-08-01,25.6
2017-08-02,25.700001
2017-08-03,25.77
2017-08-04,25.790001
2017-08-07,25.75
2017-08-08,26.43
2017-08-09,26.530001000000002
2017-08-10,26.610001
2017-08-11,26.82
2017-08-14,26.360001
2017-08-15,25.82
2017-08-16,26.030001000000002
2017-08-17,25.790001
2017-08-18,26.01
2017-08-21,25.76
2017-08-22,25.67
2017-08-23,25.5
2017-08-24,25.5
2017-08-25,25.65
2017-08-28,25.48
2017-08-29,25.58
2017-08-30,25.780001000000002
2017-08-31,25.790001
2017-09-01,25.940001000000002
2017-09-05,25.040001
2017-09-06,25.450001
2017-09-07,25.219998999999998
2017-09-08,25.309998999999998
2017-09-11,25.219998999999998
2017-09-12,25.129998999999998
2017-09-13,25.264999
2017-09-14,24.93
2017-09-15,24.49
2017-09-18,24.0
2017-09-19,24.120001000000002
2017-09-20,23.65
2017-09-21,23.25
2017-09-22,23.290001
2017-09-25,23.139999
2017-09-26,23.6
2017-09-27,23.309998999999998
2017-09-28,22.889999
2017-09-29,23.299999
2017-10-02,24.690001000000002
2017-10-03,25.540001
2017-10-04,25.360001
2017-10-05,25.16
2017-10-06,24.51
2017-10-09,23.65
2017-10-10,23.969998999999998
2017-10-11,23.43
2017-10-12,22.93
2017-10-13,23.23
2017-10-16,22.879998999999998
2017-10-17,22.200001
2017-10-18,22.02
2017-10-19,21.309998999999998
2017-10-20,22.040001
2017-10-23,21.860001
2017-10-24,21.66
2017-10-25,21.74
2017-10-26,21.200001
2017-10-27,21.35
2017-10-30,21.49
2017-10-31,22.0
2017-11-01,22.73
2017-11-02,22.559998999999998
2017-11-03,21.91
2017-11-06,21.969998999999998
2017-11-07,21.76
2017-11-08,21.959999
2017-11-09,22.17
2017-11-10,22.219998999999998
2017-11-13,21.780001000000002
2017-11-14,22.059998999999998
2017-11-15,22.24
2017-11-16,21.92
2017-11-17,21.620001000000002
2017-11-20,21.75
2017-11-21,21.57
2017-11-22,21.719998999999998
2017-11-24,21.68
2017-11-27,21.209999
2017-11-28,21.299999
2017-11-29,21.469998999999998
2017-11-30,20.75
2017-12-01,21.17
2017-12-04,20.879998999999998
2017-12-05,21.09
2017-12-06,21.17
2017-12-07,21.02
2017-12-08,20.889999
2017-12-11,21.26
2017-12-12,21.25
2017-12-13,21.280001000000002
2017-12-14,21.4
2017-12-15,21.379998999999998
2017-12-18,21.700001
2017-12-19,21.549999
2017-12-20,21.530001000000002
2017-12-21,21.58
2017-12-22,20.9
2017-12-26,21.23
2017-12-27,20.49
2017-12-28,20.26
2017-12-29,19.889999
2018-01-02,21.389999
2018-01-03,21.66
2018-01-04,21.190001000000002
2018-01-05,20.690001000000002
2018-01-08,21.17
2018-01-09,20.780001000000002
2018-01-10,20.68
2018-01-11,20.66
2018-01-12,20.950001
2018-01-16,20.860001
2018-01-17,20.85
2018-01-18,21.16
2018-01-19,20.99
2018-01-22,20.9
2018-01-23,21.15
2018-01-24,22.74
2018-01-25,23.51
2018-01-26,23.32
2018-01-29,23.43
2018-01-30,23.01
2018-01-31,22.67
2018-02-01,22.58
2018-02-02,22.25
2018-02-05,21.799999
2018-02-06,22.01
2018-02-07,21.99
2018-02-08,20.940001000000002
2018-02-09,21.66
2018-02-12,22.190001000000002
2018-02-13,22.27
2018-02-14,22.99
2018-02-15,23.370001000000002
2018-02-16,23.200001
2018-02-20,23.09
2018-02-21,23.209999
2018-02-22,22.889999
2018-02-23,22.58
2018-02-26,21.290001
2018-02-27,20.879998999999998
2018-02-28,20.450001
2018-03-01,20.23
2018-03-02,20.26
2018-03-05,21.139999
2018-03-06,21.26
2018-03-07,21.190001000000002
2018-03-08,21.209999
2018-03-09,21.24
2018-03-12,21.459999
2018-03-13,21.41
2018-03-14,21.5
2018-03-15,21.41
2018-03-16,21.25
2018-03-19,21.120001000000002
2018-03-20,20.83
2018-03-21,21.049999
2018-03-22,20.309998999999998
2018-03-23,20.17
2018-03-26,20.540001
2018-03-27,20.6
2018-03-28,19.299999
2018-03-29,19.09
2018-04-02,19.4
2018-04-03,19.280001000000002
2018-04-04,19.52
2018-04-05,19.780001000000002
2018-04-06,19.84
2018-04-09,19.200001
2018-04-10,19.27
2018-04-11,19.24
