Date,PANW
2014-09-29,99.279999
2014-09-30,98.099998
2014-10-01,95.389999
2014-10-02,98.18
2014-10-03,104.699997
2014-10-06,102.25
2014-10-07,99.790001
2014-10-08,102.239998
2014-10-09,102.730003
2014-10-10,94.360001
2014-10-13,89.410004
2014-10-14,94.25
2014-10-15,97.43
2014-10-16,97.879997
2014-10-17,99.33000200000001
2014-10-20,100.879997
2014-10-21,104.68
2014-10-22,102.58000200000001
2014-10-23,107.449997
2014-10-24,108.059998
2014-10-27,103.66999799999999
2014-10-28,105.410004
2014-10-29,103.559998
2014-10-30,104.93
2014-10-31,105.699997
2014-11-03,105.959999
2014-11-04,106.709999
2014-11-05,102.519997
2014-11-06,106.110001
2014-11-07,107.019997
2014-11-10,109.019997
2014-11-11,108.300003
2014-11-12,108.889999
2014-11-13,109.599998
2014-11-14,110.779999
2014-11-17,109.349998
2014-11-18,109.0
2014-11-19,107.33000200000001
2014-11-20,109.040001
2014-11-21,108.93
2014-11-24,113.260002
2014-11-25,120.190002
2014-11-26,120.599998
2014-11-28,123.0
2014-12-01,119.709999
2014-12-02,117.699997
2014-12-03,118.58000200000001
2014-12-04,118.290001
2014-12-05,118.879997
2014-12-08,116.860001
2014-12-09,118.839996
2014-12-10,117.139999
2014-12-11,118.910004
2014-12-12,118.07
2014-12-15,118.08000200000001
2014-12-16,116.639999
2014-12-17,120.029999
2014-12-18,123.440002
2014-12-19,124.360001
2014-12-22,125.720001
2014-12-23,125.220001
2014-12-24,125.989998
2014-12-26,127.43
2014-12-29,122.889999
2014-12-30,121.800003
2014-12-31,122.57
2015-01-02,121.41999799999999
2015-01-05,123.730003
2015-01-06,121.849998
2015-01-07,125.529999
2015-01-08,127.209999
2015-01-09,125.82
2015-01-12,127.279999
2015-01-13,124.75
2015-01-14,126.300003
2015-01-15,122.08000200000001
2015-01-16,125.010002
2015-01-20,124.459999
2015-01-21,125.349998
2015-01-22,123.68
2015-01-23,126.809998
2015-01-26,126.93
2015-01-27,126.0
2015-01-28,125.449997
2015-01-29,129.28999299999998
2015-01-30,126.389999
2015-02-02,125.110001
2015-02-03,123.529999
2015-02-04,125.68
2015-02-05,127.110001
2015-02-06,125.620003
2015-02-09,125.029999
2015-02-10,128.429993
2015-02-11,131.720001
2015-02-12,133.009995
2015-02-13,135.270004
2015-02-17,136.889999
2015-02-18,136.880005
2015-02-19,137.91000400000001
2015-02-20,141.610001
2015-02-23,138.199997
2015-02-24,138.610001
2015-02-25,142.059998
