Date,TMS
2013-10-10,19797.199219
2013-10-11,19797.199219
2013-10-14,19797.199219
2013-10-15,19797.199219
2013-10-16,19797.199219
2013-10-17,19797.199219
2013-10-18,19797.199219
2013-10-21,19797.199219
2013-10-22,19797.199219
2013-10-23,19797.199219
2013-10-24,19797.199219
2013-10-25,19797.199219
2013-10-28,19797.199219
2013-10-29,19797.199219
2013-10-30,19797.199219
2013-10-31,19797.199219
2013-11-01,19797.199219
2013-11-04,19797.199219
2013-11-05,19797.199219
2013-11-06,19797.199219
2013-11-07,19797.199219
2013-11-08,19797.199219
2013-11-11,19797.199219
2013-11-12,19797.199219
2013-11-13,19797.199219
2013-11-14,19247.300781
2013-11-15,18147.400391
2013-11-18,16882.599609
2013-11-19,15727.799805
2013-11-20,15727.799805
2013-11-21,15727.799805
2013-11-22,15727.799805
2013-11-25,15727.799805
2013-11-26,15727.799805
2013-11-27,15727.799805
2013-11-29,15727.799805
2013-12-02,15727.799805
2013-12-03,15727.799805
2013-12-04,15727.799805
2013-12-05,15727.799805
2013-12-06,15727.799805
2013-12-09,15727.799805
2013-12-10,15727.799805
2013-12-11,15727.799805
2013-12-12,15727.799805
2013-12-13,15947.799805
2013-12-16,15947.799805
2013-12-17,15947.799805
2013-12-18,15397.799805
2013-12-19,15397.799805
2013-12-20,14573.0
2013-12-23,14573.0
2013-12-24,14573.0
2013-12-26,15562.799805
2013-12-27,15562.799805
2013-12-30,15562.799805
2013-12-31,15562.799805
2014-01-02,15947.799805
2014-01-03,15947.799805
2014-01-06,15947.799805
2014-01-07,15947.799805
2014-01-08,15947.799805
2014-01-09,15947.799805
2014-01-10,15947.799805
2014-01-13,16497.699219
2014-01-14,16497.699219
2014-01-15,16497.699219
2014-01-16,15837.799805
2014-01-17,15837.799805
2014-01-21,16497.699219
2014-01-22,16497.699219
2014-01-23,16497.699219
2014-01-24,16497.699219
2014-01-27,16497.699219
2014-01-28,16497.699219
2014-01-29,16497.699219
2014-01-30,16497.699219
2014-01-31,16497.699219
2014-02-03,16497.699219
2014-02-04,16497.699219
2014-02-05,16497.699219
2014-02-06,16497.699219
2014-02-07,16497.699219
2014-02-10,16497.699219
2014-02-11,16497.699219
2014-02-12,17652.5
2014-02-13,17597.5
2014-02-14,17762.5
2014-02-18,18807.400391
2014-02-19,18807.400391
2014-02-20,19247.300781
2014-02-21,20017.199219
2014-02-24,19797.199219
2014-02-25,20017.199219
2014-02-26,18972.300781
2014-02-27,18972.300781
2014-02-28,19247.300781
2014-03-03,19247.300781
2014-03-04,19247.300781
2014-03-05,19797.199219
2014-03-06,19797.199219
2014-03-07,19797.199219
2014-03-10,19797.199219
2014-03-11,19247.300781
2014-03-12,19742.199219
2014-03-13,20072.199219
2014-03-14,20072.199219
2014-03-17,19797.199219
2014-03-18,19797.199219
2014-03-19,19247.300781
2014-03-20,17927.5
2014-03-21,18972.300781
2014-03-24,19027.300781
2014-03-25,18972.300781
2014-03-26,19522.300781
2014-03-27,19797.199219
2014-03-28,18477.400391
2014-03-31,17597.5
2014-04-01,17597.5
2014-04-02,17597.5
2014-04-03,18147.400391
2014-04-04,19247.300781
2014-04-07,18202.400391
2014-04-08,16937.599609
2014-04-09,16937.599609
2014-04-10,18092.5
2014-04-11,19247.300781
2014-04-14,20347.099609
2014-04-15,20347.099609
2014-04-16,20347.099609
2014-04-17,20347.099609
2014-04-21,19797.199219
2014-04-22,19797.199219
2014-04-23,20292.099609
2014-04-24,20292.099609
2014-04-25,20292.099609
2014-04-28,20292.099609
2014-04-29,18917.300781
2014-04-30,18917.300781
2014-05-01,18917.300781
2014-05-02,18917.300781
2014-05-05,18917.300781
2014-05-06,17597.5
2014-05-07,16497.699219
2014-05-08,17652.5
2014-05-09,18862.300781
2014-05-12,20072.199219
2014-05-13,20072.199219
2014-05-14,20072.199219
2014-05-15,20072.199219
2014-05-16,20072.199219
2014-05-19,20072.199219
2014-05-20,20072.199219
2014-05-21,20072.199219
2014-05-22,21447.0
2014-05-23,21447.0
2014-05-27,21447.0
2014-05-28,21447.0
2014-05-29,21447.0
2014-05-30,21447.0
2014-06-02,19962.199219
2014-06-03,19962.199219
2014-06-04,18587.400391
2014-06-05,18587.400391
2014-06-06,17597.5
2014-06-09,18422.400391
2014-06-10,19687.199219
2014-06-11,19247.300781
2014-06-12,19247.300781
2014-06-13,18697.400391
2014-06-16,18697.400391
2014-06-17,18697.400391
2014-06-18,17432.5
2014-06-19,17432.5
2014-06-20,17707.5
2014-06-23,18642.400391
2014-06-24,19907.199219
2014-06-25,20842.099609
2014-06-26,19412.300781
2014-06-27,18092.5
2014-06-30,17597.5
2014-07-01,17597.5
2014-07-02,18642.400391
2014-07-03,18642.400391
2014-07-07,18642.400391
