Date,MRK
1973-11-21,2.402778
1973-11-23,2.368056
1973-11-26,2.333333
1973-11-27,2.302083
1973-11-28,2.361111
1973-11-29,2.388889
1973-11-30,2.361111
1973-12-03,2.333333
1973-12-04,2.340278
1973-12-05,2.28125
1973-12-06,2.3125
1973-12-07,2.319444
1973-12-10,2.357639
1973-12-11,2.309028
1973-12-12,2.28125
1973-12-13,2.222222
1973-12-14,2.222222
1973-12-17,2.256944
1973-12-18,2.267361
1973-12-19,2.284722
1973-12-20,2.222222
1973-12-21,2.1875
1973-12-24,2.177083
1973-12-26,2.232639
1973-12-27,2.298611
1973-12-28,2.277778
1973-12-31,2.243056
1974-01-02,2.232639
1974-01-03,2.243056
1974-01-04,2.142361
1974-01-07,2.097222
1974-01-08,2.069444
1974-01-09,2.027778
1974-01-10,2.013889
1974-01-11,2.041667
1974-01-14,2.0625
1974-01-15,2.111111
1974-01-16,2.131944
1974-01-17,2.138889
1974-01-18,2.104167
1974-01-21,2.152778
1974-01-22,2.194444
1974-01-23,2.229167
1974-01-24,2.208333
1974-01-25,2.239583
1974-01-28,2.194444
1974-01-29,2.166667
1974-01-30,2.1875
1974-01-31,2.170139
1974-02-01,2.152778
1974-02-04,2.111111
1974-02-05,2.097222
1974-02-06,2.104167
1974-02-07,2.090278
1974-02-08,2.065972
1974-02-11,2.027778
1974-02-12,2.027778
1974-02-13,2.013889
1974-02-14,2.006944
1974-02-15,2.041667
1974-02-19,2.100694
1974-02-20,2.111111
1974-02-21,2.190972
1974-02-22,2.15625
1974-02-25,2.145833
1974-02-26,2.166667
1974-02-27,2.194444
1974-02-28,2.180556
1974-03-01,2.1875
1974-03-04,2.177083
1974-03-05,2.215278
1974-03-06,2.222222
1974-03-07,2.194444
1974-03-08,2.25
1974-03-11,2.263889
1974-03-12,2.347222
1974-03-13,2.378472
1974-03-14,2.354167
1974-03-15,2.357639
1974-03-18,2.333333
1974-03-19,2.319444
1974-03-20,2.309028
1974-03-21,2.329861
1974-03-22,2.340278
1974-03-25,2.364583
1974-03-26,2.333333
1974-03-27,2.309028
1974-03-28,2.270833
1974-03-29,2.246528
1974-04-01,2.243056
1974-04-02,2.239583
1974-04-03,2.298611
1974-04-04,2.263889
1974-04-05,2.243056
1974-04-08,2.21875
1974-04-09,2.21875
1974-04-10,2.222222
1974-04-11,2.201389
1974-04-15,2.211806
1974-04-16,2.270833
1974-04-17,2.274306
1974-04-18,2.236111
1974-04-19,2.236111
1974-04-22,2.236111
1974-04-23,2.215278
1974-04-24,2.180556
1974-04-25,2.215278
1974-04-26,2.180556
1974-04-29,2.190972
1974-04-30,2.232639
1974-05-01,2.284722
1974-05-02,2.277778
1974-05-03,2.215278
1974-05-06,2.21875
1974-05-07,2.222222
1974-05-08,2.222222
1974-05-09,2.263889
1974-05-10,2.25
1974-05-13,2.263889
1974-05-14,2.305556
1974-05-15,2.270833
1974-05-16,2.284722
1974-05-17,2.270833
1974-05-20,2.274306
1974-05-21,2.284722
1974-05-22,2.270833
1974-05-23,2.270833
1974-05-24,2.298611
1974-05-28,2.354167
1974-05-29,2.277778
1974-05-30,2.222222
1974-05-31,2.194444
1974-06-03,2.232639
1974-06-04,2.25
1974-06-05,2.270833
1974-06-06,2.3125
1974-06-07,2.326389
1974-06-10,2.333333
1974-06-11,2.305556
1974-06-12,2.350694
1974-06-13,2.378472
1974-06-14,2.336806
1974-06-17,2.298611
1974-06-18,2.277778
1974-06-19,2.28125
1974-06-20,2.284722
1974-06-21,2.277778
1974-06-24,2.277778
1974-06-25,2.291667
1974-06-26,2.253472
1974-06-27,2.225694
1974-06-28,2.180556
1974-07-01,2.201389
1974-07-02,2.138889
1974-07-03,2.152778
1974-07-05,2.118056
1974-07-08,2.114583
1974-07-09,2.121528
1974-07-10,2.083333
1974-07-11,2.104167
1974-07-12,2.142361
1974-07-15,2.138889
1974-07-16,2.107639
1974-07-17,2.104167
1974-07-18,2.152778
1974-07-19,2.1875
1974-07-22,2.125
