Date,FSLR
2008-09-24,221.80000299999998
2008-09-25,221.38000499999998
2008-09-26,207.130005
2008-09-29,180.309998
2008-09-30,188.91000400000001
2008-10-01,197.259995
2008-10-02,177.860001
2008-10-03,163.190002
2008-10-06,159.71000700000002
2008-10-07,128.0
2008-10-08,127.43
2008-10-09,118.099998
2008-10-10,117.449997
2008-10-13,143.970001
2008-10-14,143.110001
2008-10-15,123.519997
2008-10-16,141.699997
2008-10-17,135.0
2008-10-20,143.979996
2008-10-21,141.16000400000001
2008-10-22,137.240005
2008-10-23,124.739998
2008-10-24,120.529999
2008-10-27,107.910004
2008-10-28,114.089996
2008-10-29,115.75
2008-10-30,144.070007
2008-10-31,143.699997
2008-11-03,161.91000400000001
2008-11-04,177.520004
2008-11-05,152.08999599999999
2008-11-06,143.600006
2008-11-07,149.669998
2008-11-10,138.5
2008-11-11,130.899994
2008-11-12,110.059998
2008-11-13,125.309998
2008-11-14,116.779999
2008-11-17,115.550003
2008-11-18,110.559998
2008-11-19,101.129997
2008-11-20,87.230003
2008-11-21,92.809998
2008-11-24,112.620003
2008-11-25,117.190002
2008-11-26,127.769997
2008-11-28,124.839996
2008-12-01,110.199997
2008-12-02,116.120003
2008-12-03,133.720001
2008-12-04,122.0
2008-12-05,128.53999299999998
2008-12-08,134.83999599999999
2008-12-09,117.110001
2008-12-10,119.68
2008-12-11,117.57
2008-12-12,116.91999799999999
2008-12-15,111.199997
2008-12-16,126.610001
2008-12-17,141.940002
2008-12-18,137.880005
2008-12-19,140.679993
2008-12-22,133.009995
2008-12-23,137.369995
2008-12-24,133.729996
2008-12-26,135.009995
2008-12-29,135.990005
2008-12-30,135.649994
2008-12-31,137.96000700000002
2009-01-02,151.5
2009-01-05,157.800003
2009-01-06,153.71000700000002
2009-01-07,148.5
2009-01-08,155.360001
2009-01-09,162.53999299999998
2009-01-12,149.929993
2009-01-13,141.100006
2009-01-14,133.380005
2009-01-15,142.580002
2009-01-16,145.419998
2009-01-20,137.759995
2009-01-21,141.419998
2009-01-22,137.300003
2009-01-23,137.509995
2009-01-26,139.050003
2009-01-27,141.080002
2009-01-28,145.880005
2009-01-29,136.889999
2009-01-30,142.800003
2009-02-02,138.270004
2009-02-03,140.46000700000002
2009-02-04,144.91000400000001
2009-02-05,149.78999299999998
2009-02-06,146.300003
2009-02-09,148.940002
2009-02-10,145.229996
2009-02-11,146.860001
2009-02-12,145.600006
2009-02-13,144.449997
2009-02-17,133.630005
2009-02-18,129.220001
2009-02-19,131.300003
2009-02-20,134.009995
2009-02-23,124.839996
2009-02-24,137.679993
2009-02-25,107.650002
2009-02-26,105.0
2009-02-27,105.739998
2009-03-02,103.970001
2009-03-03,110.440002
2009-03-04,113.25
2009-03-05,109.790001
2009-03-06,108.489998
2009-03-09,108.360001
2009-03-10,120.239998
2009-03-11,119.480003
2009-03-12,126.5
2009-03-13,129.550003
2009-03-16,124.860001
2009-03-17,115.959999
2009-03-18,118.639999
2009-03-19,124.800003
2009-03-20,120.370003
2009-03-23,131.020004
2009-03-24,128.800003
2009-03-25,133.979996
2009-03-26,150.389999
2009-03-27,147.360001
2009-03-30,136.759995
2009-03-31,132.699997
2009-04-01,135.5
2009-04-02,138.020004
2009-04-03,134.380005
2009-04-06,138.16000400000001
2009-04-07,133.119995
2009-04-08,135.690002
2009-04-09,142.050003
2009-04-13,144.100006
2009-04-14,148.100006
2009-04-15,149.25
2009-04-16,146.929993
2009-04-17,143.800003
2009-04-20,138.479996
2009-04-21,140.139999
2009-04-22,145.869995
2009-04-23,143.5
2009-04-24,147.46000700000002
2009-04-27,152.0
2009-04-28,146.66000400000001
2009-04-29,151.669998
2009-04-30,187.28999299999998
2009-05-01,180.889999
2009-05-04,193.639999
2009-05-05,192.21000700000002
2009-05-06,199.100006
2009-05-07,195.050003
2009-05-08,191.050003
2009-05-11,193.630005
2009-05-12,190.649994
2009-05-13,179.5
2009-05-14,180.429993
2009-05-15,177.429993
2009-05-18,184.899994
2009-05-19,189.699997
2009-05-20,202.399994
2009-05-21,193.199997
2009-05-22,191.720001
2009-05-26,179.509995
2009-05-27,180.690002
2009-05-28,183.75
2009-05-29,190.28999299999998
2009-06-01,189.059998
2009-06-02,184.5
2009-06-03,178.509995
2009-06-04,184.25
2009-06-05,182.100006
2009-06-08,183.970001
2009-06-09,182.880005
2009-06-10,186.75
2009-06-11,184.100006
2009-06-12,183.800003
2009-06-15,178.979996
2009-06-16,172.03999299999998
2009-06-17,168.309998
2009-06-18,170.25
2009-06-19,173.46000700000002
2009-06-22,162.300003
2009-06-23,164.419998
2009-06-24,171.190002
2009-06-25,159.479996
2009-06-26,160.720001
2009-06-29,157.199997
2009-06-30,162.199997
2009-07-01,155.28999299999998
2009-07-02,154.199997
2009-07-06,149.600006
2009-07-07,144.740005
2009-07-08,149.580002
2009-07-09,146.110001
2009-07-10,143.100006
2009-07-13,145.78999299999998
2009-07-14,141.53999299999998
2009-07-15,148.610001
2009-07-16,145.179993
2009-07-17,144.550003
2009-07-20,146.639999
2009-07-21,155.399994
2009-07-22,151.360001
2009-07-23,157.779999
2009-07-24,169.429993
2009-07-27,171.5
2009-07-28,167.899994
2009-07-29,167.990005
2009-07-30,173.550003
2009-07-31,154.389999
2009-08-03,155.580002
2009-08-04,147.979996
2009-08-05,149.53999299999998
2009-08-06,142.759995
2009-08-07,146.470001
2009-08-10,147.33999599999999
2009-08-11,146.529999
2009-08-12,144.990005
2009-08-13,144.759995
2009-08-14,141.779999
