Date,SUN
2015-06-26,44.599998
2015-06-29,44.439999
2015-06-30,45.299999
2015-07-01,45.84
2015-07-02,44.41
2015-07-06,43.52
2015-07-07,44.93
2015-07-08,44.18
2015-07-09,43.759997999999996
2015-07-10,44.18
2015-07-13,43.75
2015-07-14,43.529999
2015-07-15,40.099998
2015-07-16,39.900002
2015-07-17,39.27
2015-07-20,37.299999
2015-07-21,37.849998
2015-07-22,37.299999
2015-07-23,37.650002
2015-07-24,38.009997999999996
2015-07-27,38.41
2015-07-28,39.970001
2015-07-29,40.400002
2015-07-30,39.889998999999996
2015-07-31,39.700001
2015-08-03,39.290001000000004
2015-08-04,39.119999
2015-08-05,38.07
2015-08-06,36.25
2015-08-07,35.880001
2015-08-10,36.939999
2015-08-11,38.389998999999996
2015-08-12,40.419998
2015-08-13,40.419998
2015-08-14,39.860001000000004
2015-08-17,40.150002
2015-08-18,40.110001000000004
2015-08-19,38.919998
2015-08-20,38.189999
2015-08-21,36.619999
2015-08-24,35.970001
2015-08-25,36.099998
2015-08-26,36.009997999999996
2015-08-27,38.23
2015-08-28,38.84
2015-08-31,39.380001
2015-09-01,38.279999
2015-09-02,38.450001
2015-09-03,37.91
2015-09-04,37.369999
2015-09-08,37.27
2015-09-09,36.110001000000004
2015-09-10,36.68
2015-09-11,35.509997999999996
2015-09-14,35.049999
2015-09-15,34.490002000000004
2015-09-16,34.150002
2015-09-17,34.790001000000004
2015-09-18,35.369999
2015-09-21,34.959998999999996
2015-09-22,35.950001
2015-09-23,34.5
2015-09-24,33.5
2015-09-25,33.810001
2015-09-28,32.400002
2015-09-29,30.870001000000002
2015-09-30,33.849998
2015-10-01,34.150002
2015-10-02,33.82
2015-10-05,34.07
2015-10-06,34.279999
2015-10-07,34.639998999999996
2015-10-08,35.150002
2015-10-09,36.200001
2015-10-12,35.880001
2015-10-13,35.720001
2015-10-14,36.619999
2015-10-15,36.580002
2015-10-16,36.900002
2015-10-19,36.25
2015-10-20,36.52
2015-10-21,36.779999
2015-10-22,35.869999
2015-10-23,35.41
2015-10-26,34.16
2015-10-27,32.720001
2015-10-28,32.48
2015-10-29,34.07
2015-10-30,34.490002000000004
2015-11-02,33.259997999999996
2015-11-03,33.689999
