Date,BURL
2017-03-10,94.139999
2017-03-13,93.769997
2017-03-14,94.849998
2017-03-15,95.309998
2017-03-16,95.08000200000001
2017-03-17,95.379997
2017-03-20,93.43
2017-03-21,93.209999
2017-03-22,94.5
2017-03-23,94.980003
2017-03-24,94.800003
2017-03-27,94.779999
2017-03-28,96.050003
2017-03-29,97.160004
2017-03-30,97.75
2017-03-31,97.290001
2017-04-03,96.050003
2017-04-04,93.699997
2017-04-05,93.800003
2017-04-06,95.699997
2017-04-07,94.849998
2017-04-10,92.91999799999999
2017-04-11,93.650002
2017-04-12,93.559998
2017-04-13,91.199997
2017-04-17,91.540001
2017-04-18,91.58000200000001
2017-04-19,93.410004
2017-04-20,97.050003
2017-04-21,97.540001
2017-04-24,97.860001
2017-04-25,97.709999
2017-04-26,97.739998
2017-04-27,98.58000200000001
2017-04-28,98.91999799999999
2017-05-01,98.150002
2017-05-02,100.349998
2017-05-03,99.779999
2017-05-04,99.860001
2017-05-05,101.540001
2017-05-08,100.620003
2017-05-09,101.209999
2017-05-10,103.959999
2017-05-11,102.940002
2017-05-12,99.389999
2017-05-15,97.599998
2017-05-16,94.5
2017-05-17,94.07
2017-05-18,93.150002
2017-05-19,94.739998
2017-05-22,96.07
2017-05-23,95.900002
2017-05-24,94.010002
2017-05-25,98.620003
2017-05-26,96.32
2017-05-30,96.269997
2017-05-31,97.849998
2017-06-01,98.800003
2017-06-02,100.129997
2017-06-05,100.800003
2017-06-06,100.949997
2017-06-07,100.209999
2017-06-08,100.019997
2017-06-09,99.57
2017-06-12,98.029999
2017-06-13,99.239998
2017-06-14,97.559998
2017-06-15,97.389999
2017-06-16,96.239998
2017-06-19,97.099998
2017-06-20,94.010002
2017-06-21,89.489998
2017-06-22,84.370003
2017-06-23,86.410004
2017-06-26,88.68
2017-06-27,89.639999
2017-06-28,91.589996
2017-06-29,91.83000200000001
2017-06-30,91.989998
2017-07-03,93.120003
2017-07-05,88.900002
2017-07-06,88.220001
2017-07-07,90.41999799999999
2017-07-10,88.0
2017-07-11,87.290001
2017-07-12,88.989998
2017-07-13,88.66999799999999
2017-07-14,89.18
2017-07-17,89.800003
2017-07-18,88.559998
2017-07-19,90.470001
2017-07-20,87.489998
2017-07-21,85.690002
2017-07-24,84.82
2017-07-25,86.83000200000001
2017-07-26,87.139999
2017-07-27,87.029999
2017-07-28,85.779999
2017-07-31,87.029999
2017-08-01,88.230003
2017-08-02,85.050003
2017-08-03,86.059998
2017-08-04,85.510002
2017-08-07,87.0
2017-08-08,87.260002
2017-08-09,86.029999
2017-08-10,83.800003
2017-08-11,85.010002
2017-08-14,83.449997
2017-08-15,80.269997
2017-08-16,82.779999
2017-08-17,81.230003
2017-08-18,84.790001
2017-08-21,84.370003
2017-08-22,86.379997
2017-08-23,84.949997
2017-08-24,86.110001
2017-08-25,88.050003
2017-08-28,87.199997
2017-08-29,84.760002
2017-08-30,85.949997
2017-08-31,87.129997
2017-09-01,87.779999
2017-09-05,87.910004
2017-09-06,88.050003
2017-09-07,88.5
2017-09-08,88.010002
2017-09-11,87.709999
2017-09-12,89.480003
2017-09-13,90.809998
2017-09-14,90.870003
2017-09-15,90.129997
2017-09-18,89.32
2017-09-19,89.379997
