Date,THS
2008-03-20,22.84
2008-03-24,22.98
2008-03-25,22.99
2008-03-26,22.91
2008-03-27,23.02
2008-03-28,23.07
2008-03-31,22.860001
2008-04-01,23.139999
2008-04-02,23.379998999999998
2008-04-03,23.549999
2008-04-04,23.76
2008-04-07,23.99
2008-04-08,23.629998999999998
2008-04-09,23.25
2008-04-10,22.75
2008-04-11,22.15
2008-04-14,22.209999
2008-04-15,22.5
2008-04-16,22.65
2008-04-17,22.200001
2008-04-18,22.700001
2008-04-21,23.059998999999998
2008-04-22,22.59
2008-04-23,22.42
2008-04-24,22.92
2008-04-25,22.889999
2008-04-28,23.110001
2008-04-29,22.690001000000002
2008-04-30,22.67
2008-05-01,22.950001
2008-05-02,22.639999
2008-05-05,22.129998999999998
2008-05-06,22.110001
2008-05-07,22.0
2008-05-08,24.0
2008-05-09,23.379998999999998
2008-05-12,24.190001000000002
2008-05-13,24.4
2008-05-14,24.610001
2008-05-15,24.690001000000002
2008-05-16,24.389999
2008-05-19,24.530001000000002
2008-05-20,24.48
2008-05-21,24.389999
2008-05-22,25.120001000000002
2008-05-23,24.92
2008-05-27,25.5
2008-05-28,25.23
2008-05-29,25.6
2008-05-30,26.129998999999998
2008-06-02,25.549999
2008-06-03,26.02
2008-06-04,26.41
2008-06-05,26.940001000000002
2008-06-06,25.799999
2008-06-09,26.02
2008-06-10,26.68
2008-06-11,25.629998999999998
2008-06-12,25.299999
2008-06-13,25.940001000000002
2008-06-16,25.690001000000002
2008-06-17,25.4
2008-06-18,25.309998999999998
2008-06-19,25.35
2008-06-20,24.959999
2008-06-23,24.889999
2008-06-24,24.48
2008-06-25,24.889999
2008-06-26,24.52
2008-06-27,24.059998999999998
2008-06-30,24.26
2008-07-01,24.200001
2008-07-02,24.0
2008-07-03,23.68
2008-07-07,24.049999
2008-07-08,25.190001000000002
2008-07-09,24.99
2008-07-10,25.02
2008-07-11,25.9
2008-07-14,26.530001000000002
2008-07-15,26.52
2008-07-16,27.219998999999998
2008-07-17,27.379998999999998
2008-07-18,26.99
2008-07-21,27.49
2008-07-22,28.02
2008-07-23,28.24
2008-07-24,28.040001
2008-07-25,28.08
2008-07-28,27.98
2008-07-29,27.76
2008-07-30,27.5
2008-07-31,27.1
2008-08-01,27.1
2008-08-04,26.959999
2008-08-05,27.0
2008-08-06,28.76
2008-08-07,29.24
2008-08-08,29.49
2008-08-11,29.360001
2008-08-12,28.790001
2008-08-13,28.469998999999998
2008-08-14,28.860001
2008-08-15,28.5
2008-08-18,28.299999
2008-08-19,28.85
2008-08-20,29.030001000000002
2008-08-21,28.43
2008-08-22,28.860001
2008-08-25,28.389999
2008-08-26,28.07
2008-08-27,27.290001
2008-08-28,27.709999
2008-08-29,27.76
2008-09-02,27.84
2008-09-03,28.629998999999998
2008-09-04,28.559998999999998
2008-09-05,29.059998999999998
2008-09-08,29.35
2008-09-09,28.950001
2008-09-10,29.23
2008-09-11,29.450001
2008-09-12,29.049999
2008-09-15,28.42
2008-09-16,28.0
2008-09-17,27.299999
2008-09-18,28.51
2008-09-19,29.290001
2008-09-22,29.059998999999998
2008-09-23,29.1
2008-09-24,28.950001
2008-09-25,29.700001
2008-09-26,29.35
2008-09-29,28.549999
2008-09-30,29.700001
2008-10-01,30.299999
2008-10-02,31.23
2008-10-03,30.49
2008-10-06,29.879998999999998
2008-10-07,29.299999
2008-10-08,28.700001
2008-10-09,29.0
2008-10-10,27.780001000000002
2008-10-13,29.190001000000002
2008-10-14,28.57
2008-10-15,27.299999
2008-10-16,28.780001000000002
2008-10-17,29.02
2008-10-20,29.32
2008-10-21,29.030001000000002
2008-10-22,29.780001000000002
2008-10-23,30.059998999999998
2008-10-24,28.57
2008-10-27,28.01
2008-10-28,28.33
2008-10-29,28.860001
2008-10-30,29.700001
2008-10-31,30.26
2008-11-03,30.799999
2008-11-04,28.860001
2008-11-05,28.280001000000002
2008-11-06,27.209999
2008-11-07,26.629998999999998
2008-11-10,26.299999
2008-11-11,26.27
2008-11-12,25.940001000000002
2008-11-13,27.690001000000002
2008-11-14,27.33
2008-11-17,27.0
2008-11-18,26.65
2008-11-19,27.370001000000002
2008-11-20,27.92
2008-11-21,28.73
2008-11-24,27.35
2008-11-25,23.25
2008-11-26,24.040001
2008-11-28,23.790001
2008-12-01,21.65
2008-12-02,22.25
2008-12-03,22.469998999999998
2008-12-04,21.690001000000002
2008-12-05,21.950001
2008-12-08,21.77
2008-12-09,22.0
2008-12-10,21.66
2008-12-11,21.34
2008-12-12,24.09
2008-12-15,23.65
2008-12-16,24.27
2008-12-17,25.040001
2008-12-18,25.040001
2008-12-19,25.57
2008-12-22,25.469998999999998
2008-12-23,24.57
2008-12-24,24.91
2008-12-26,25.93
2008-12-29,26.32
2008-12-30,27.23
2008-12-31,27.24
2009-01-02,27.26
2009-01-05,27.709999
2009-01-06,27.190001000000002
2009-01-07,26.719998999999998
2009-01-08,26.75
2009-01-09,26.34
2009-01-12,27.030001000000002
2009-01-13,26.809998999999998
