,Date,Close,retrun
187,1943-07-01,11.85,-0.04947
188,1943-08-01,11.8,0.32501
189,1943-09-01,12.08,-0.15640
190,1943-10-01,11.91,-0.60623
191,1943-11-01,11.02,0.98917
192,1943-12-01,11.67,0.20163
193,1944-01-01,11.85,-0.02996
194,1944-02-01,11.82,0.22305
195,1944-03-01,12.02,-0.13989
196,1944-04-01,11.87,0.60914
197,1944-05-01,12.35,0.81674
198,1944-06-01,12.98,-0.22295
199,1944-07-01,12.71,0.10894
200,1944-08-01,12.82,-0.07237
201,1944-09-01,12.74,0.03833
202,1944-10-01,12.78,0.04797
203,1944-11-01,12.83,0.51237
204,1944-12-01,13.28,0.18586
205,1945-01-01,13.47,1.04937
206,1945-02-01,14.3,-0.44759
207,1945-03-01,13.61,1.82429
208,1945-04-01,14.84,0.14647
209,1945-05-01,15.01,-0.10636
210,1945-06-01,14.87,-0.15691
211,1945-07-01,14.66,0.96668
212,1945-08-01,15.51,0.50785
213,1945-09-01,16.049999,0.55336
214,1945-10-01,16.65,0.46670
215,1945-11-01,17.190001000000002,0.12535
216,1945-12-01,17.360001,1.24464
217,1946-01-01,18.57,-0.57851
218,1946-02-01,17.280001000000002,0.67615
219,1946-03-01,18.040001,0.59939
220,1946-04-01,18.76,0.30434
221,1946-05-01,19.18,-0.38039
222,1946-06-01,18.43,-0.26655
223,1946-07-01,17.959999,-0.59701
224,1946-08-01,16.65,-0.72317
225,1946-09-01,14.96,-0.09212
226,1946-10-01,14.84,-0.12198
227,1946-11-01,14.68,0.64280
228,1946-12-01,15.3,0.32192
229,1947-01-01,15.66,-0.16268
230,1947-02-01,15.43,-0.18448
231,1947-03-01,15.17,-0.37875
232,1947-04-01,14.58,-0.10190
233,1947-05-01,14.45,0.84985
234,1947-06-01,15.21,0.53152
235,1947-07-01,15.76,-0.28808
236,1947-08-01,15.32,-0.15264
237,1947-09-01,15.11,0.28593
238,1947-10-01,15.43,-0.29895
239,1947-11-01,14.98,0.28871
240,1947-12-01,15.3,-0.39128
241,1948-01-01,14.68,-0.46703
242,1948-02-01,13.93,1.59061
243,1948-03-01,15.08,0.36910
244,1948-04-01,15.48,1.46732
245,1948-05-01,16.690001000000002,0.03655
246,1948-06-01,16.74,-0.48086
247,1948-07-01,15.85,0.09473
248,1948-08-01,15.97,-0.30664
249,1948-09-01,15.49,1.13398
250,1948-10-01,16.5,-0.73957
251,1948-11-01,14.75,0.43423
252,1948-12-01,15.2,0.01590
253,1949-01-01,15.22,-0.38285
254,1949-02-01,14.62,0.42735
255,1949-03-01,15.06,-0.24586
256,1949-04-01,14.71,-0.35071
257,1949-05-01,14.19,-0.02508
258,1949-06-01,14.16,1.06165
259,1949-07-01,15.04,0.15346
260,1949-08-01,15.22,0.32383
261,1949-09-01,15.58,0.41789
