Date,MPC
2013-09-05,36.049999
2013-09-06,35.424999
2013-09-09,34.805
2013-09-10,34.049999
2013-09-11,33.855
2013-09-12,33.465
2013-09-13,33.945
2013-09-16,33.474998
2013-09-17,33.105
2013-09-18,33.130001
2013-09-19,32.705002
2013-09-20,32.255001
2013-09-23,31.495001000000002
2013-09-24,32.154999
2013-09-25,32.235001000000004
2013-09-26,32.07
2013-09-27,32.470001
2013-09-30,32.16
2013-10-01,32.145
2013-10-02,32.669998
2013-10-03,32.615002000000004
2013-10-04,32.615002000000004
2013-10-07,31.959999
2013-10-08,31.25
2013-10-09,31.049999
2013-10-10,32.654999
2013-10-11,33.625
2013-10-14,33.595001
2013-10-15,34.220001
2013-10-16,34.474998
2013-10-17,35.09
2013-10-18,35.369999
2013-10-21,35.465
2013-10-22,36.25
2013-10-23,36.044998
2013-10-24,34.605
2013-10-25,34.945
2013-10-28,35.599998
2013-10-29,35.41
2013-10-30,36.255001
2013-10-31,35.830002
2013-11-01,35.43
2013-11-04,35.845001
2013-11-05,35.360001000000004
2013-11-06,35.200001
2013-11-07,35.215
2013-11-08,35.825001
2013-11-11,36.099998
2013-11-12,37.005001
2013-11-13,37.549999
2013-11-14,39.43
2013-11-15,39.419998
2013-11-18,38.715
2013-11-19,39.415001000000004
2013-11-20,38.700001
2013-11-21,39.389998999999996
2013-11-22,40.125
2013-11-25,40.889998999999996
2013-11-26,40.775002
2013-11-27,42.169998
2013-11-29,41.369999
2013-12-02,43.705002
2013-12-03,43.494999
2013-12-04,41.630001
2013-12-05,41.924999
2013-12-06,43.599998
2013-12-09,42.775002
2013-12-10,43.755001
2013-12-11,42.990002000000004
2013-12-12,42.849998
2013-12-13,42.605
2013-12-16,43.174999
2013-12-17,43.044998
2013-12-18,43.709998999999996
2013-12-19,42.855
2013-12-20,43.630001
2013-12-23,44.384997999999996
2013-12-24,44.674999
2013-12-26,44.77
2013-12-27,44.564999
2013-12-30,44.25
2013-12-31,45.865002000000004
2014-01-02,44.740002000000004
