Date,QCOM
1994-02-25,1.328125
1994-02-28,1.40625
1994-03-01,1.578125
1994-03-02,1.703125
1994-03-03,1.640625
1994-03-04,1.609375
1994-03-07,1.578125
1994-03-08,1.5625
1994-03-09,1.5390629999999998
1994-03-10,1.5546879999999998
1994-03-11,1.59375
1994-03-14,1.671875
1994-03-15,1.710938
1994-03-16,1.796875
1994-03-17,1.75
1994-03-18,1.78125
1994-03-21,1.726563
1994-03-22,1.6875
1994-03-23,1.640625
1994-03-24,1.671875
1994-03-25,1.625
1994-03-28,1.53125
1994-03-29,1.453125
1994-03-30,1.484375
1994-03-31,1.53125
1994-04-04,1.4609379999999998
1994-04-05,1.453125
1994-04-06,1.453125
1994-04-07,1.453125
1994-04-08,1.421875
1994-04-11,1.375
1994-04-12,1.359375
1994-04-13,1.28125
1994-04-14,1.296875
1994-04-15,1.421875
1994-04-18,1.375
1994-04-19,1.3046879999999998
1994-04-20,1.28125
1994-04-21,1.25
1994-04-22,1.3125
1994-04-25,1.3671879999999998
1994-04-26,1.390625
1994-04-28,1.328125
1994-04-29,1.328125
1994-05-02,1.328125
1994-05-03,1.328125
1994-05-04,1.2890629999999998
1994-05-05,1.3125
1994-05-06,1.28125
1994-05-09,1.234375
1994-05-10,1.203125
1994-05-11,1.0546879999999998
1994-05-12,1.078125
1994-05-13,1.0703129999999998
1994-05-16,1.078125
1994-05-17,1.078125
1994-05-18,1.125
1994-05-19,1.140625
1994-05-20,1.125
1994-05-23,1.09375
1994-05-24,1.15625
1994-05-25,1.1171879999999998
1994-05-26,1.0859379999999998
1994-05-27,1.0625
1994-05-31,1.0234379999999998
1994-06-01,1.03125
1994-06-02,1.046875
1994-06-03,1.125
1994-06-06,1.140625
1994-06-07,1.128906
1994-06-08,1.1171879999999998
1994-06-09,1.109375
1994-06-10,1.140625
1994-06-13,1.125
1994-06-14,1.125
1994-06-15,1.109375
1994-06-16,1.1015629999999998
1994-06-17,1.09375
1994-06-20,1.03125
1994-06-21,1.0234379999999998
1994-06-22,1.0546879999999998
1994-06-23,1.015625
1994-06-24,1.0
1994-06-27,1.078125
1994-06-28,1.03125
1994-06-29,1.0234379999999998
1994-06-30,1.0
1994-07-01,1.0
1994-07-05,0.984375
1994-07-06,0.953125
1994-07-07,0.984375
1994-07-08,0.953125
1994-07-11,0.953125
1994-07-12,0.980469
1994-07-13,1.03125
1994-07-14,1.21875
1994-07-15,1.1875
1994-07-18,1.171875
1994-07-19,1.0859379999999998
1994-07-20,1.0234379999999998
1994-07-21,1.09375
1994-07-22,1.140625
1994-07-25,1.15625
1994-07-26,1.1640629999999998
1994-07-27,1.15625
1994-07-28,1.171875
1994-07-29,1.125
1994-08-01,1.113281
1994-08-02,1.109375
1994-08-03,1.09375
1994-08-04,1.1171879999999998
1994-08-05,1.109375
1994-08-08,1.1484379999999998
1994-08-09,1.15625
1994-08-10,1.1640629999999998
1994-08-11,1.171875
1994-08-12,1.34375
1994-08-15,1.292969
1994-08-16,1.359375
1994-08-17,1.421875
1994-08-18,1.4140629999999998
1994-08-19,1.359375
1994-08-22,1.3515629999999998
1994-08-23,1.375
1994-08-24,1.3984379999999998
1994-08-25,1.375
1994-08-26,1.4140629999999998
1994-08-29,1.4375
1994-08-30,1.4375
1994-08-31,1.40625
1994-09-01,1.34375
1994-09-02,1.265625
1994-09-06,1.3125
1994-09-07,1.3515629999999998
1994-09-08,1.453125
1994-09-09,1.542969
1994-09-12,1.535156
1994-09-13,1.5625
1994-09-14,1.5625
1994-09-15,1.609375
1994-09-16,1.640625
1994-09-19,1.640625
1994-09-20,1.5625
1994-09-21,1.5625
1994-09-22,1.609375
1994-09-23,1.625
1994-09-26,1.609375
1994-09-27,1.578125
1994-09-28,1.578125
1994-09-29,1.546875
1994-09-30,1.582031
1994-10-03,1.6171879999999998
1994-10-04,1.640625
1994-10-05,1.765625
1994-10-06,1.726563
1994-10-07,1.765625
1994-10-10,1.75
1994-10-11,1.765625
1994-10-12,1.734375
1994-10-13,1.78125
1994-10-14,1.75
1994-10-17,1.734375
1994-10-18,1.6875
1994-10-19,1.71875
1994-10-20,1.765625
1994-10-21,1.851563
1994-10-24,1.796875
1994-10-25,1.75
1994-10-26,1.796875
1994-10-27,1.8125
1994-10-28,1.859375
1994-10-31,1.84375
1994-11-01,1.820313
1994-11-02,1.859375
1994-11-03,1.867188
1994-11-04,1.8125
1994-11-07,1.875
1994-11-08,2.003906
1994-11-09,2.054688
1994-11-10,2.046875
1994-11-11,2.015625
1994-11-14,2.0625
1994-11-15,2.09375
1994-11-16,2.070313
1994-11-17,2.0
1994-11-18,1.921875
1994-11-21,1.890625
1994-11-22,1.828125
1994-11-23,1.890625
1994-11-25,1.96875
1994-11-28,1.984375
1994-11-29,1.96875
1994-11-30,1.921875
1994-12-01,1.84375
1994-12-02,1.859375
1994-12-05,1.90625
1994-12-06,1.796875
1994-12-07,1.6875
1994-12-08,1.65625
1994-12-09,1.765625
1994-12-12,1.65625
1994-12-13,1.59375
1994-12-14,1.515625
1994-12-15,1.4375
1994-12-16,1.515625
1994-12-19,1.546875
1994-12-20,1.625
1994-12-21,1.625
1994-12-22,1.65625
1994-12-23,1.609375
1994-12-27,1.59375
1994-12-28,1.546875
1994-12-29,1.53125
1994-12-30,1.5
1995-01-03,1.515625
1995-01-04,1.53125
1995-01-05,1.515625
1995-01-06,1.5
1995-01-09,1.453125
1995-01-10,1.453125
1995-01-11,1.4296879999999998
1995-01-12,1.40625
1995-01-13,1.3125
1995-01-16,1.3828129999999998
1995-01-17,1.515625
1995-01-18,1.53125
1995-01-19,1.5
1995-01-20,1.453125
1995-01-23,1.578125
1995-01-24,1.71875
1995-01-25,1.6875
1995-01-26,1.757813
1995-01-27,1.78125
1995-01-30,1.6875
1995-01-31,1.65625
1995-02-01,1.703125
1995-02-02,1.71875
1995-02-03,1.75
1995-02-06,1.75
1995-02-07,1.757813
1995-02-08,1.75
1995-02-09,1.75
1995-02-10,1.765625
1995-02-13,1.71875
1995-02-14,1.671875
1995-02-15,1.625
1995-02-16,1.640625
1995-02-17,1.59375
1995-02-21,1.6015629999999998
1995-02-22,1.625
1995-02-23,1.765625
1995-02-24,1.765625
1995-02-27,1.734375
1995-02-28,1.828125
1995-03-01,1.765625
1995-03-02,1.734375
1995-03-03,1.828125
1995-03-06,1.78125
1995-03-07,1.75
1995-03-08,1.734375
1995-03-09,1.84375
1995-03-10,1.84375
1995-03-13,1.804688
1995-03-14,1.9375
1995-03-15,1.960938
1995-03-16,2.0
1995-03-17,2.046875
1995-03-20,2.015625
1995-03-21,1.9375
1995-03-22,2.054688
1995-03-23,2.140625
1995-03-24,2.03125
1995-03-27,2.0625
1995-03-28,2.125
1995-03-29,2.148438
1995-03-30,2.070313
1995-03-31,2.046875
1995-04-03,1.9882810000000002
1995-04-04,1.921875
1995-04-05,1.859375
1995-04-06,1.789063
1995-04-07,1.875
1995-04-10,1.75
1995-04-11,1.640625
1995-04-12,1.6875
1995-04-13,1.679688
1995-04-17,1.671875
1995-04-18,1.609375
1995-04-19,1.5390629999999998
1995-04-20,1.703125
1995-04-21,1.640625
1995-04-24,1.5625
1995-04-25,1.59375
1995-04-26,1.664063
1995-04-27,1.671875
1995-04-28,1.640625
1995-05-01,1.5859379999999998
1995-05-02,1.609375
1995-05-03,1.625
1995-05-04,1.5859379999999998
1995-05-05,1.5859379999999998
1995-05-08,1.5859379999999998
1995-05-09,1.53125
1995-05-10,1.5546879999999998
1995-05-11,1.75
1995-05-12,1.851563
1995-05-15,1.84375
1995-05-16,1.84375
1995-05-17,1.7773439999999998
1995-05-18,1.710938
1995-05-19,1.6914060000000002
1995-05-22,1.671875
1995-05-23,1.609375
1995-05-24,1.59375
1995-05-25,1.6328129999999998
1995-05-26,1.609375
1995-05-30,1.5390629999999998
1995-05-31,1.6015629999999998
1995-06-01,1.582031
1995-06-02,1.75
1995-06-05,1.84375
1995-06-06,2.171875
1995-06-07,2.171875
1995-06-08,2.148438
1995-06-09,2.113281
1995-06-12,2.015625
1995-06-13,2.046875
1995-06-14,2.046875
1995-06-15,2.15625
1995-06-16,2.125
1995-06-19,2.171875
1995-06-20,2.195313
1995-06-21,2.085938
1995-06-22,2.195313
1995-06-23,2.109375
1995-06-26,2.109375
1995-06-27,2.023438
1995-06-28,2.070313
1995-06-29,2.132813
1995-06-30,2.160156
1995-07-03,2.140625
1995-07-05,2.226563
1995-07-06,2.226563
1995-07-07,2.34375
1995-07-10,2.5
1995-07-11,2.382813
