Date,VRSN
2000-10-03,180.0
2000-10-04,183.5625
2000-10-05,193.3125
2000-10-06,188.0625
2000-10-09,186.6875
2000-10-10,177.375
2000-10-11,157.625
2000-10-12,147.5
2000-10-13,162.0
2000-10-16,165.125
2000-10-17,158.375
2000-10-18,153.5
2000-10-19,166.859375
2000-10-20,177.3125
2000-10-23,176.625
2000-10-24,168.3125
2000-10-25,147.4375
2000-10-26,142.3125
2000-10-27,127.3125
2000-10-30,116.9375
2000-10-31,132.0
2000-11-01,127.3125
2000-11-02,135.875
2000-11-03,142.375
2000-11-06,143.265625
2000-11-07,139.75
2000-11-08,127.125
2000-11-09,123.0625
2000-11-10,113.1875
2000-11-13,108.75
2000-11-14,119.0625
2000-11-15,119.9375
2000-11-16,117.9375
2000-11-17,113.75
2000-11-20,104.625
2000-11-21,94.0625
2000-11-22,85.0625
2000-11-24,93.25
2000-11-27,87.1875
2000-11-28,82.09375
2000-11-29,80.75
2000-11-30,86.6875
2000-12-01,84.875
2000-12-04,87.0
2000-12-05,101.375
2000-12-06,103.625
2000-12-07,102.375
2000-12-08,111.984375
2000-12-11,116.0
2000-12-12,112.0625
2000-12-13,102.0
2000-12-14,95.4375
2000-12-15,93.5625
2000-12-18,86.4375
2000-12-19,79.75
2000-12-20,68.8125
2000-12-21,68.125
2000-12-22,80.4375
2000-12-26,79.75
2000-12-27,81.3125
2000-12-28,79.625
2000-12-29,74.1875
2001-01-02,61.8125
2001-01-03,80.609375
2001-01-04,76.875
2001-01-05,68.8125
2001-01-08,66.6875
2001-01-09,73.125
2001-01-10,79.5625
2001-01-11,87.4375
2001-01-12,84.875
2001-01-16,78.375
2001-01-17,88.5
2001-01-18,91.9375
2001-01-19,79.4375
2001-01-22,77.75
2001-01-23,74.5
2001-01-24,81.5
2001-01-25,73.625
2001-01-26,76.25
2001-01-29,80.875
2001-01-30,77.8125
2001-01-31,73.5
2001-02-01,75.0
2001-02-02,67.5
2001-02-05,70.0625
2001-02-06,68.8125
2001-02-07,64.375
2001-02-08,61.625
2001-02-09,59.9375
2001-02-12,58.5
2001-02-13,57.875
2001-02-14,63.0
2001-02-15,63.984375
2001-02-16,59.75
2001-02-20,56.3125
2001-02-21,50.6875
2001-02-22,48.125
2001-02-23,48.875
2001-02-26,53.3125
2001-02-27,48.1875
2001-02-28,47.6875
2001-03-01,54.0
2001-03-02,50.5625
2001-03-05,46.9375
2001-03-06,48.6875
2001-03-07,47.0
2001-03-08,44.625
2001-03-09,40.4375
2001-03-12,36.9375
2001-03-13,37.125
2001-03-14,38.0
2001-03-15,34.4375
2001-03-16,33.9375
2001-03-19,34.0
2001-03-20,31.75
2001-03-21,33.0
2001-03-22,35.0
2001-03-23,33.375
2001-03-26,35.25
2001-03-27,37.625
2001-03-28,33.0625
2001-03-29,32.25
2001-03-30,35.4375
2001-04-02,35.75
2001-04-03,28.0
2001-04-04,30.75
2001-04-05,34.0625
2001-04-06,33.375
2001-04-09,33.599998
2001-04-10,39.869999
2001-04-11,43.82
2001-04-12,44.950001
2001-04-16,42.259997999999996
2001-04-17,44.130001
2001-04-18,47.43
2001-04-19,51.360001000000004
2001-04-20,50.919998
2001-04-23,46.900002
2001-04-24,41.93
2001-04-25,46.599998
2001-04-26,46.220001
2001-04-27,51.91
2001-04-30,51.279999
2001-05-01,52.549999
2001-05-02,59.400002
2001-05-03,56.490002000000004
2001-05-04,57.040001000000004
2001-05-07,55.52
2001-05-08,58.25
2001-05-09,54.950001
2001-05-10,53.389998999999996
2001-05-11,52.540001000000004
