Date,HOG
1988-05-25,0.6835939999999999
1988-05-26,0.679688
1988-05-27,0.6835939999999999
1988-05-31,0.695313
1988-06-01,0.703125
1988-06-02,0.703125
1988-06-03,0.71875
1988-06-06,0.75
1988-06-07,0.7773439999999999
1988-06-08,0.7929689999999999
1988-06-09,0.8007810000000001
1988-06-10,0.828125
1988-06-13,0.847656
1988-06-14,0.859375
1988-06-15,0.828125
1988-06-16,0.832031
1988-06-17,0.832031
1988-06-20,0.8125
1988-06-21,0.824219
1988-06-22,0.832031
1988-06-23,0.84375
1988-06-24,0.835938
1988-06-27,0.820313
1988-06-28,0.804688
1988-06-29,0.796875
1988-06-30,0.804688
1988-07-01,0.804688
1988-07-05,0.859375
1988-07-06,0.84375
1988-07-07,0.851563
1988-07-08,0.855469
1988-07-11,0.859375
1988-07-12,0.871094
1988-07-13,0.890625
1988-07-14,0.890625
1988-07-15,0.882813
1988-07-18,0.890625
1988-07-19,0.902344
1988-07-20,0.902344
1988-07-21,0.878906
1988-07-22,0.882813
1988-07-25,0.875
1988-07-26,0.882813
1988-07-27,0.878906
1988-07-28,0.894531
1988-07-29,0.902344
1988-08-01,0.925781
1988-08-02,0.921875
1988-08-03,0.890625
1988-08-04,0.882813
1988-08-05,0.875
1988-08-08,0.875
1988-08-09,0.863281
1988-08-10,0.8085939999999999
1988-08-11,0.789063
1988-08-12,0.7773439999999999
1988-08-15,0.7304689999999999
1988-08-16,0.773438
1988-08-17,0.7539060000000001
1988-08-18,0.773438
1988-08-19,0.7773439999999999
1988-08-22,0.7851560000000001
1988-08-23,0.7773439999999999
1988-08-24,0.796875
1988-08-25,0.7773439999999999
1988-08-26,0.789063
1988-08-29,0.78125
1988-08-30,0.796875
1988-08-31,0.804688
1988-09-01,0.78125
1988-09-02,0.8007810000000001
1988-09-06,0.7929689999999999
1988-09-07,0.796875
1988-09-08,0.839844
1988-09-09,0.820313
1988-09-12,0.8085939999999999
1988-09-13,0.8085939999999999
1988-09-14,0.824219
1988-09-15,0.828125
1988-09-16,0.828125
1988-09-19,0.820313
1988-09-20,0.8125
1988-09-21,0.8125
1988-09-22,0.8085939999999999
1988-09-23,0.796875
1988-09-26,0.7851560000000001
1988-09-27,0.7851560000000001
1988-09-28,0.7851560000000001
1988-09-29,0.804688
1988-09-30,0.820313
1988-10-03,0.832031
1988-10-04,0.839844
1988-10-05,0.851563
1988-10-06,0.839844
1988-10-07,0.847656
1988-10-10,0.871094
1988-10-11,0.851563
1988-10-12,0.84375
1988-10-13,0.835938
1988-10-14,0.828125
1988-10-17,0.824219
1988-10-18,0.8164060000000001
1988-10-19,0.8125
1988-10-20,0.8125
1988-10-21,0.8085939999999999
1988-10-24,0.8007810000000001
1988-10-25,0.789063
1988-10-26,0.7695310000000001
1988-10-27,0.757813
1988-10-28,0.75
1988-10-31,0.7460939999999999
1988-11-01,0.75
1988-11-02,0.757813
1988-11-03,0.796875
1988-11-04,0.7851560000000001
1988-11-07,0.7773439999999999
1988-11-08,0.7695310000000001
1988-11-09,0.765625
1988-11-10,0.7539060000000001
1988-11-11,0.71875
1988-11-14,0.710938
1988-11-15,0.7148439999999999
1988-11-16,0.6992189999999999
1988-11-17,0.6875
1988-11-18,0.6875
1988-11-21,0.6875
1988-11-22,0.6914060000000001
1988-11-23,0.726563
1988-11-25,0.726563
1988-11-28,0.7226560000000001
1988-11-29,0.726563
1988-11-30,0.7539060000000001
1988-12-01,0.75
1988-12-02,0.726563
1988-12-05,0.7304689999999999
1988-12-06,0.7382810000000001
1988-12-07,0.7460939999999999
1988-12-08,0.7304689999999999
1988-12-09,0.7304689999999999
1988-12-12,0.7304689999999999
1988-12-13,0.7304689999999999
1988-12-14,0.726563
1988-12-15,0.7304689999999999
1988-12-16,0.7304689999999999
1988-12-19,0.734375
1988-12-20,0.7460939999999999
1988-12-21,0.75
1988-12-22,0.7539060000000001
1988-12-23,0.7539060000000001
1988-12-27,0.757813
1988-12-28,0.773438
1988-12-29,0.7851560000000001
1988-12-30,0.7929689999999999
1989-01-03,0.804688
1989-01-04,0.8085939999999999
1989-01-05,0.804688
1989-01-06,0.8085939999999999
1989-01-09,0.8007810000000001
1989-01-10,0.804688
1989-01-11,0.804688
1989-01-12,0.7929689999999999
1989-01-13,0.796875
1989-01-16,0.7851560000000001
1989-01-17,0.773438
1989-01-18,0.7695310000000001
1989-01-19,0.789063
1989-01-20,0.78125
1989-01-23,0.8007810000000001
1989-01-24,0.804688
1989-01-25,0.796875
1989-01-26,0.773438
1989-01-27,0.8125
1989-01-30,0.832031
1989-01-31,0.847656
1989-02-01,0.84375
1989-02-02,0.84375
1989-02-03,0.839844
1989-02-06,0.832031
1989-02-07,0.84375
1989-02-08,0.847656
1989-02-09,0.835938
1989-02-10,0.824219
1989-02-13,0.796875
1989-02-14,0.8085939999999999
1989-02-15,0.824219
1989-02-16,0.847656
1989-02-17,0.867188
1989-02-21,0.855469
1989-02-22,0.839844
1989-02-23,0.8164060000000001
1989-02-24,0.804688
1989-02-27,0.789063
1989-02-28,0.796875
1989-03-01,0.8007810000000001
1989-03-02,0.824219
1989-03-03,0.828125
1989-03-06,0.828125
1989-03-07,0.824219
1989-03-08,0.8164060000000001
1989-03-09,0.8125
1989-03-10,0.8085939999999999
1989-03-13,0.824219
1989-03-14,0.828125
1989-03-15,0.839844
1989-03-16,0.875
1989-03-17,0.851563
1989-03-20,0.84375
1989-03-21,0.847656
1989-03-22,0.851563
1989-03-23,0.875
1989-03-27,0.871094
1989-03-28,0.871094
1989-03-29,0.890625
1989-03-30,0.890625
1989-03-31,0.882813
1989-04-03,0.890625
1989-04-04,0.898438
1989-04-05,0.878906
1989-04-06,0.871094
1989-04-07,0.875
1989-04-10,0.878906
1989-04-11,0.875
1989-04-12,0.875
1989-04-13,0.863281
1989-04-14,0.867188
1989-04-17,0.867188
1989-04-18,0.878906
1989-04-19,0.886719
1989-04-20,0.890625
1989-04-21,0.914063
1989-04-24,0.914063
1989-04-25,0.890625
1989-04-26,0.90625
1989-04-27,0.917969
1989-04-28,0.917969
1989-05-01,0.914063
1989-05-02,0.90625
1989-05-03,0.90625
1989-05-04,0.902344
1989-05-05,0.882813
1989-05-08,0.878906
1989-05-09,0.871094
1989-05-10,0.890625
1989-05-11,0.902344
1989-05-12,0.910156
1989-05-15,0.90625
1989-05-16,0.964844
1989-05-17,0.96875
1989-05-18,0.945313
1989-05-19,0.949219
1989-05-22,0.933594
1989-05-23,0.921875
1989-05-24,0.921875
1989-05-25,0.929688
1989-05-26,0.929688
1989-05-30,0.957031
1989-05-31,0.953125
1989-06-01,0.9375
1989-06-02,0.9375
1989-06-05,0.917969
1989-06-06,0.925781
1989-06-07,0.921875
1989-06-08,0.914063
1989-06-09,0.921875
1989-06-12,0.917969
1989-06-13,0.917969
1989-06-14,0.90625
1989-06-15,0.890625
1989-06-16,0.878906
1989-06-19,0.882813
1989-06-20,0.867188
1989-06-21,0.832031
1989-06-22,0.832031
1989-06-23,0.828125
1989-06-26,0.851563
1989-06-27,0.859375
1989-06-28,0.855469
1989-06-29,0.839844
1989-06-30,0.832031
1989-07-03,0.84375
1989-07-05,0.859375
1989-07-06,0.855469
1989-07-07,0.855469
1989-07-10,0.855469
1989-07-11,0.875
1989-07-12,0.878906
1989-07-13,0.882813
1989-07-14,0.886719
1989-07-17,0.882813
1989-07-18,0.859375
1989-07-19,0.859375
1989-07-20,0.863281
1989-07-21,0.855469
1989-07-24,0.847656
1989-07-25,0.851563
1989-07-26,0.871094
1989-07-27,0.878906
1989-07-28,0.898438
1989-07-31,0.902344
1989-08-01,0.910156
1989-08-02,0.917969
1989-08-03,0.921875
1989-08-04,0.929688
1989-08-07,0.9375
1989-08-08,0.933594
1989-08-09,0.9375
1989-08-10,0.941406
1989-08-11,0.925781
1989-08-14,0.910156
1989-08-15,0.910156
1989-08-16,0.902344
1989-08-17,0.878906
1989-08-18,0.863281
1989-08-21,0.867188
1989-08-22,0.875
1989-08-23,0.878906
1989-08-24,0.933594
1989-08-25,0.941406
1989-08-28,0.9375
1989-08-29,0.953125
1989-08-30,0.964844
1989-08-31,0.96875
1989-09-01,1.0234379999999998
1989-09-05,1.0390629999999998
1989-09-06,1.035156
1989-09-07,1.027344
1989-09-08,1.027344
1989-09-11,1.0234379999999998
1989-09-12,1.011719
1989-09-13,1.019531
1989-09-14,1.0
1989-09-15,1.015625
1989-09-18,1.0234379999999998
1989-09-19,1.0390629999999998
1989-09-20,1.046875
1989-09-21,1.058594
1989-09-22,1.105469
1989-09-25,1.160156
1989-09-26,1.21875
1989-09-27,1.214844
1989-09-28,1.246094
1989-09-29,1.238281
1989-10-02,1.222656
1989-10-03,1.3359379999999998
1989-10-04,1.269531
1989-10-05,1.296875
1989-10-06,1.3125
1989-10-09,1.2890629999999998
1989-10-10,1.2734379999999998
1989-10-11,1.2734379999999998
1989-10-12,1.265625
1989-10-13,1.15625
1989-10-16,1.125
1989-10-17,1.109375
1989-10-18,1.121094
1989-10-19,1.1796879999999998
1989-10-20,1.191406
1989-10-23,1.15625
1989-10-24,1.121094
1989-10-25,1.121094
1989-10-26,1.109375
1989-10-27,1.078125
1989-10-30,1.089844
1989-10-31,1.105469
1989-11-01,1.109375
1989-11-02,1.136719
1989-11-03,1.1328129999999998
1989-11-06,1.128906
1989-11-07,1.125
1989-11-08,1.128906
1989-11-09,1.1328129999999998
1989-11-10,1.1328129999999998
1989-11-13,1.140625
1989-11-14,1.1328129999999998
1989-11-15,1.144531
1989-11-16,1.15625
1989-11-17,1.21875
1989-11-20,1.191406
1989-11-21,1.1875
1989-11-22,1.191406
1989-11-24,1.1953129999999998
1989-11-27,1.2109379999999998
1989-11-28,1.2109379999999998
1989-11-29,1.2109379999999998
1989-11-30,1.2109379999999998
1989-12-01,1.222656
1989-12-04,1.230469
1989-12-05,1.2421879999999998
1989-12-06,1.269531
1989-12-07,1.277344
1989-12-08,1.308594
1989-12-11,1.296875
1989-12-12,1.265625
1989-12-13,1.230469
1989-12-14,1.2421879999999998
1989-12-15,1.234375
1989-12-18,1.2109379999999998
1989-12-19,1.1875
1989-12-20,1.1796879999999998
1989-12-21,1.21875
1989-12-22,1.207031
1989-12-26,1.234375
1989-12-27,1.2265629999999998
1989-12-28,1.214844
1989-12-29,1.2265629999999998
1990-01-02,1.2265629999999998
1990-01-03,1.25
1990-01-04,1.2578129999999998
1990-01-05,1.2578129999999998
1990-01-08,1.265625
1990-01-09,1.265625
1990-01-10,1.2578129999999998
1990-01-11,1.2578129999999998
1990-01-12,1.21875
1990-01-15,1.21875
1990-01-16,1.199219
1990-01-17,1.1875
1990-01-18,1.1953129999999998
1990-01-19,1.1953129999999998
1990-01-22,1.1953129999999998
1990-01-23,1.1875
1990-01-24,1.191406
1990-01-25,1.1953129999999998
1990-01-26,1.203125
1990-01-29,1.1875
1990-01-30,1.171875
1990-01-31,1.171875
1990-02-01,1.183594
1990-02-02,1.1875
1990-02-05,1.1875
1990-02-06,1.1875
1990-02-07,1.199219
1990-02-08,1.1875
1990-02-09,1.1875
1990-02-12,1.1875
1990-02-13,1.1796879999999998
1990-02-14,1.171875
1990-02-15,1.160156
1990-02-16,1.152344
1990-02-20,1.1328129999999998
1990-02-21,1.113281
1990-02-22,1.121094
1990-02-23,1.1015629999999998
1990-02-26,1.105469
1990-02-27,1.113281
1990-02-28,1.140625
1990-03-01,1.1796879999999998
1990-03-02,1.1875
1990-03-05,1.183594
1990-03-06,1.1875
1990-03-07,1.1875
1990-03-08,1.1796879999999998
1990-03-09,1.203125
1990-03-12,1.2109379999999998
1990-03-13,1.21875
1990-03-14,1.238281
1990-03-15,1.25
1990-03-16,1.2578129999999998
1990-03-19,1.2578129999999998
1990-03-20,1.261719
1990-03-21,1.265625
1990-03-22,1.269531
1990-03-23,1.261719
1990-03-26,1.261719
1990-03-27,1.265625
1990-03-28,1.265625
1990-03-29,1.28125
1990-03-30,1.285156
1990-04-02,1.269531
1990-04-03,1.269531
1990-04-04,1.28125
1990-04-05,1.292969
1990-04-06,1.292969
1990-04-09,1.2734379999999998
1990-04-10,1.25
1990-04-11,1.2578129999999998
1990-04-12,1.277344
1990-04-16,1.2890629999999998
1990-04-17,1.308594
1990-04-18,1.332031
