Date,ZBRA
1993-11-01,11.666667
1993-11-02,11.777778
1993-11-03,11.777778
1993-11-04,11.722222
1993-11-05,11.666667
1993-11-08,11.666667
1993-11-09,12.222222
1993-11-10,12.555555
1993-11-11,12.944445
1993-11-12,12.777778
1993-11-15,12.388889
1993-11-16,12.611111
1993-11-17,12.277778
1993-11-18,11.694445
1993-11-19,11.194445
1993-11-22,10.611111
1993-11-23,11.388889
1993-11-24,11.722222
1993-11-26,11.555555
1993-11-29,12.666667
1993-11-30,12.722222
1993-12-01,12.722222
1993-12-02,13.277778
1993-12-03,12.916667
1993-12-06,12.805555
1993-12-07,12.583333
1993-12-08,12.555555
1993-12-09,12.138889
1993-12-10,11.777778
1993-12-13,11.888889
1993-12-14,11.944445
1993-12-15,12.111111
1993-12-16,12.416667
1993-12-17,12.611111
1993-12-20,12.555555
1993-12-21,12.444445
1993-12-22,12.25
1993-12-23,12.361111
1993-12-27,12.638889
1993-12-28,12.472222
1993-12-29,12.444445
1993-12-30,12.444445
1993-12-31,12.583333
1994-01-03,12.194445
1994-01-04,11.888889
1994-01-05,12.055555
1994-01-06,11.611111
1994-01-07,11.722222
1994-01-10,11.833333
1994-01-11,12.111111
1994-01-12,12.166667
1994-01-13,12.222222
1994-01-14,12.444445
1994-01-17,12.333333
1994-01-18,12.333333
1994-01-19,12.333333
1994-01-20,11.5
1994-01-21,11.0
1994-01-24,10.777778
1994-01-25,10.833333
1994-01-26,11.138889
1994-01-27,11.055555
1994-01-28,10.611111
1994-01-31,10.666667
1994-02-01,9.916667
1994-02-02,9.555555
1994-02-03,10.5
1994-02-04,10.111111
1994-02-07,10.388889
1994-02-08,10.166667
1994-02-09,10.833333
1994-02-10,11.111111
1994-02-11,10.861111
1994-02-14,11.166667
1994-02-15,10.722222
1994-02-16,11.5
1994-02-17,11.194445
1994-02-18,10.833333
1994-02-22,10.611111
1994-02-23,10.277778
1994-02-24,10.166667
1994-02-25,10.0
1994-02-28,10.222222
1994-03-01,10.444445
1994-03-02,10.111111
1994-03-03,10.333333
1994-03-04,11.111111
1994-03-07,11.111111
1994-03-08,10.888889
1994-03-09,10.777778
1994-03-10,10.833333
1994-03-11,11.222222
1994-03-14,12.222222
1994-03-15,12.444445
1994-03-16,12.222222
1994-03-17,11.888889
1994-03-18,11.305555
1994-03-21,11.388889
1994-03-22,10.805555
1994-03-23,10.722222
1994-03-24,9.888889
1994-03-25,8.666667
1994-03-28,8.25
1994-03-29,8.027778
1994-03-30,7.861111
1994-03-31,8.777778
1994-04-04,7.888889
1994-04-05,8.111111
1994-04-06,8.277778
1994-04-07,8.208333
1994-04-08,8.277778
1994-04-11,8.25
1994-04-12,8.277778
1994-04-13,8.055555
1994-04-14,7.777778
1994-04-15,7.555555
1994-04-18,6.861111
1994-04-19,7.111111
1994-04-20,6.888889
1994-04-21,7.361111
1994-04-22,5.8333330000000005
1994-04-25,6.111111
1994-04-26,6.3333330000000005
1994-04-28,6.305555
1994-04-29,6.388889
1994-05-02,6.5
1994-05-03,6.388889
1994-05-04,6.444445
1994-05-05,6.3333330000000005
1994-05-06,6.3333330000000005
1994-05-09,6.0
1994-05-10,6.055555
1994-05-11,5.944445
1994-05-12,5.888889
1994-05-13,5.944445
1994-05-16,6.111111
1994-05-17,6.138889
1994-05-18,6.444445
1994-05-19,6.388889
1994-05-20,6.555555
1994-05-23,6.277778
1994-05-24,6.6666669999999995
1994-05-25,6.8333330000000005
1994-05-26,6.777778
1994-05-27,6.777778
1994-05-31,6.611111
1994-06-01,6.888889
1994-06-02,7.138889
1994-06-03,7.625
1994-06-06,7.555555
1994-06-07,7.555555
1994-06-08,7.222222
1994-06-09,7.222222
1994-06-10,7.5
1994-06-13,7.1666669999999995
1994-06-14,7.388889
1994-06-15,7.25
1994-06-16,7.222222
1994-06-17,7.3333330000000005
1994-06-20,7.277778
1994-06-21,7.1666669999999995
1994-06-22,7.5
1994-06-23,7.388889
1994-06-24,7.0833330000000005
1994-06-27,7.111111
1994-06-28,6.9166669999999995
1994-06-29,7.111111
1994-06-30,7.055555
1994-07-01,7.222222
1994-07-05,7.0
1994-07-06,6.888889
1994-07-07,7.222222
1994-07-08,7.388889
1994-07-11,7.611111
1994-07-12,7.777778
1994-07-13,7.944445
1994-07-14,8.222222
1994-07-15,8.138889
1994-07-18,8.222222
1994-07-19,8.277778
1994-07-20,8.166667
1994-07-21,8.055555
1994-07-22,7.8333330000000005
1994-07-25,7.611111
1994-07-26,7.611111
1994-07-27,7.638889
1994-07-28,7.777778
1994-07-29,7.944445
1994-08-01,7.888889
1994-08-02,8.055555
1994-08-03,8.0
1994-08-04,7.8333330000000005
1994-08-05,8.0
1994-08-08,8.0
1994-08-09,8.055555
1994-08-10,8.555555
1994-08-11,8.388889
1994-08-12,8.475695
1994-08-15,8.555555
1994-08-16,8.638889
1994-08-17,8.722222
1994-08-18,8.722222
1994-08-19,8.638889
1994-08-22,8.611111
1994-08-23,8.722222
1994-08-24,8.722222
1994-08-25,8.555555
1994-08-26,8.888889
1994-08-29,8.722222
1994-08-30,8.722222
1994-08-31,8.722222
1994-09-01,8.833333
1994-09-02,8.833333
1994-09-06,8.722222
1994-09-07,8.833333
1994-09-08,8.833333
1994-09-09,8.611111
1994-09-12,8.611111
1994-09-13,8.111111
1994-09-14,8.333333
1994-09-15,8.305555
1994-09-16,8.166667
1994-09-19,8.333333
1994-09-20,8.277778
1994-09-21,8.027778
1994-09-22,7.805555
1994-09-23,7.6666669999999995
1994-09-26,7.6666669999999995
1994-09-27,7.888889
1994-09-28,8.222222
1994-09-29,8.166667
1994-09-30,8.166667
1994-10-03,8.0
1994-10-04,7.6666669999999995
1994-10-05,8.222222
1994-10-06,8.111111
1994-10-07,8.0
1994-10-10,8.111111
1994-10-11,8.055555
1994-10-12,8.0
1994-10-13,8.0
1994-10-14,8.055555
1994-10-17,7.944445
1994-10-18,7.888889
1994-10-19,7.888889
1994-10-20,8.0
1994-10-21,7.888889
1994-10-24,8.055555
1994-10-25,7.888889
1994-10-26,8.055555
1994-10-27,8.444445
1994-10-28,8.555555
1994-10-31,8.944445
1994-11-01,8.833333
1994-11-02,9.388889
1994-11-03,9.194445
1994-11-04,9.222222
1994-11-07,9.055555
1994-11-08,8.944445
1994-11-09,9.027778
1994-11-10,9.0
1994-11-11,9.0
1994-11-14,9.111111
1994-11-15,9.083333
1994-11-16,8.916667
1994-11-17,8.777778
1994-11-18,8.722222
1994-11-21,8.555555
1994-11-22,8.0
1994-11-23,8.111111
1994-11-25,8.277778
1994-11-28,8.722222
1994-11-29,8.722222
1994-11-30,8.333333
1994-12-01,8.333333
1994-12-02,8.277778
1994-12-05,8.333333
1994-12-06,8.166667
1994-12-07,8.111111
1994-12-08,7.805555
1994-12-09,7.8333330000000005
1994-12-12,7.638889
1994-12-13,7.777778
1994-12-14,7.611111
1994-12-15,8.222222
1994-12-16,8.111111
1994-12-19,8.055555
1994-12-20,8.111111
1994-12-21,7.888889
1994-12-22,7.9166669999999995
1994-12-23,8.083333
1994-12-27,8.444445
1994-12-28,8.444445
1994-12-29,8.75
1994-12-30,8.680555
1995-01-03,8.333333
1995-01-04,8.222222
1995-01-05,8.222222
1995-01-06,8.222222
1995-01-09,8.305555
1995-01-10,8.277778
1995-01-11,8.5
1995-01-12,8.555555
1995-01-13,8.277778
1995-01-16,8.277778
1995-01-17,8.444445
1995-01-18,8.888889
1995-01-19,9.166667
1995-01-20,9.166667
1995-01-23,9.0
1995-01-24,8.888889
1995-01-25,8.722222
1995-01-26,8.722222
1995-01-27,8.722222
1995-01-30,9.0
1995-01-31,8.888889
1995-02-01,9.166667
1995-02-02,9.222222
1995-02-03,9.5
1995-02-06,9.277778
1995-02-07,9.166667
1995-02-08,9.194445
1995-02-09,9.416667
1995-02-10,9.388889
1995-02-13,9.277778
1995-02-14,9.444445
1995-02-15,9.388889
