Date,EA
1991-06-10,1.3046879999999998
1991-06-11,1.265625
1991-06-12,1.203125
1991-06-13,1.140625
1991-06-14,1.140625
1991-06-17,1.15625
1991-06-18,1.1484379999999998
1991-06-19,1.1328129999999998
1991-06-20,1.125
1991-06-21,1.140625
1991-06-24,1.109375
1991-06-25,1.0625
1991-06-26,1.03125
1991-06-27,1.0390629999999998
1991-06-28,1.0703129999999998
1991-07-01,1.1640629999999998
1991-07-02,1.15625
1991-07-03,1.1015629999999998
1991-07-05,1.09375
1991-07-08,1.1328129999999998
1991-07-09,1.125
1991-07-10,1.1328129999999998
1991-07-11,1.1953129999999998
1991-07-12,1.2265629999999998
1991-07-15,1.203125
1991-07-16,1.203125
1991-07-17,1.1953129999999998
1991-07-18,1.1875
1991-07-19,1.203125
1991-07-22,1.171875
1991-07-23,1.1484379999999998
1991-07-24,1.0703129999999998
1991-07-25,1.1328129999999998
1991-07-26,1.125
1991-07-29,1.0703129999999998
1991-07-30,1.1640629999999998
1991-07-31,1.203125
1991-08-01,1.203125
1991-08-02,1.234375
1991-08-05,1.25
1991-08-06,1.2734379999999998
1991-08-07,1.2890629999999998
1991-08-08,1.2421879999999998
1991-08-09,1.2734379999999998
1991-08-12,1.28125
1991-08-13,1.3203129999999998
1991-08-14,1.3125
1991-08-15,1.296875
1991-08-16,1.2890629999999998
1991-08-19,1.265625
1991-08-20,1.25
1991-08-21,1.3046879999999998
1991-08-22,1.484375
1991-08-23,1.4921879999999998
1991-08-26,1.4921879999999998
1991-08-27,1.5078129999999998
1991-08-28,1.59375
1991-08-29,1.679688
1991-08-30,1.703125
1991-09-03,1.679688
1991-09-04,1.609375
1991-09-05,1.5859379999999998
1991-09-06,1.6328129999999998
1991-09-09,1.6328129999999998
1991-09-10,1.703125
1991-09-11,1.757813
1991-09-12,1.71875
1991-09-13,1.664063
1991-09-16,1.6875
1991-09-17,1.710938
1991-09-18,1.6875
1991-09-19,1.679688
1991-09-20,1.679688
1991-09-23,1.664063
1991-09-24,1.65625
1991-09-25,1.6171879999999998
1991-09-26,1.5625
1991-09-27,1.578125
1991-09-30,1.578125
1991-10-01,1.703125
1991-10-02,1.679688
1991-10-03,1.609375
1991-10-04,1.640625
1991-10-07,1.625
1991-10-08,1.679688
1991-10-09,1.695313
1991-10-10,1.695313
1991-10-11,1.726563
1991-10-14,1.796875
1991-10-15,1.835938
1991-10-16,1.859375
1991-10-17,1.84375
1991-10-18,1.8125
1991-10-21,1.851563
1991-10-22,2.039063
1991-10-23,1.898438
1991-10-24,1.828125
1991-10-25,1.789063
1991-10-28,1.773438
1991-10-29,1.890625
1991-10-30,1.953125
1991-10-31,2.015625
1991-11-01,2.046875
1991-11-04,2.054688
1991-11-05,2.03125
1991-11-06,1.945313
1991-11-07,1.976563
1991-11-08,2.039063
1991-11-11,2.078125
1991-11-12,2.15625
1991-11-13,2.117188
1991-11-14,2.125
1991-11-15,2.023438
1991-11-18,1.960938
1991-11-19,1.84375
1991-11-20,1.945313
1991-11-21,2.09375
1991-11-22,2.15625
1991-11-25,2.140625
1991-11-26,2.070313
1991-11-27,2.078125
1991-11-29,2.109375
1991-12-02,2.070313
1991-12-03,2.164063
1991-12-04,2.210938
1991-12-05,2.203125
1991-12-06,2.21875
1991-12-09,2.265625
1991-12-10,2.226563
1991-12-11,2.265625
1991-12-12,2.3125
1991-12-13,2.3125
1991-12-16,2.320313
1991-12-17,2.3125
1991-12-18,2.3125
1991-12-19,2.234375
1991-12-20,2.0625
1991-12-23,2.179688
1991-12-24,2.179688
1991-12-26,2.1875
1991-12-27,2.195313
1991-12-30,2.234375
1991-12-31,2.390625
1992-01-02,2.351563
1992-01-03,2.476563
1992-01-06,2.546875
1992-01-07,2.507813
1992-01-08,2.679688
1992-01-09,2.65625
1992-01-10,2.59375
1992-01-13,2.609375
1992-01-14,2.640625
1992-01-15,2.8125
1992-01-16,2.8125
1992-01-17,2.828125
1992-01-20,2.75
1992-01-21,2.625
1992-01-22,2.671875
1992-01-23,2.59375
1992-01-24,2.625
1992-01-27,2.53125
1992-01-28,2.53125
1992-01-29,2.546875
1992-01-30,2.59375
1992-01-31,2.5
1992-02-03,2.59375
1992-02-04,2.65625
1992-02-05,2.6875
1992-02-06,2.8125
1992-02-07,2.78125
1992-02-10,2.875
1992-02-11,2.984375
1992-02-12,2.953125
1992-02-13,2.953125
1992-02-14,2.984375
1992-02-18,2.9375
1992-02-19,2.953125
1992-02-20,3.070313
1992-02-21,3.15625
1992-02-24,3.203125
1992-02-25,3.046875
1992-02-26,2.984375
1992-02-27,2.984375
1992-02-28,2.921875
1992-03-02,2.867188
1992-03-03,2.882813
1992-03-04,2.890625
1992-03-05,2.804688
1992-03-06,2.765625
1992-03-09,2.828125
1992-03-10,2.9375
1992-03-11,2.9375
1992-03-12,2.875
1992-03-13,2.828125
1992-03-16,2.765625
1992-03-17,2.828125
1992-03-18,2.859375
1992-03-19,2.90625
1992-03-20,3.0
1992-03-23,2.953125
1992-03-24,3.0
1992-03-25,3.125
1992-03-26,3.03125
1992-03-27,2.875
1992-03-30,2.75
1992-03-31,2.96875
1992-04-01,3.0
1992-04-02,2.96875
1992-04-03,2.9375
1992-04-06,2.953125
1992-04-07,2.75
1992-04-08,2.6875
1992-04-09,2.875
1992-04-10,2.84375
1992-04-13,2.90625
1992-04-14,2.859375
1992-04-15,2.84375
1992-04-16,2.96875
1992-04-20,2.96875
1992-04-21,2.9375
1992-04-22,3.0
1992-04-23,2.875
1992-04-24,2.796875
1992-04-27,2.71875
1992-04-28,2.53125
1992-04-29,2.65625
1992-04-30,2.75
1992-05-01,2.8125
1992-05-04,2.9375
1992-05-05,3.0
1992-05-06,2.96875
1992-05-07,2.953125
1992-05-08,2.90625
1992-05-11,2.84375
1992-05-12,2.875
1992-05-13,2.84375
1992-05-14,2.8125
1992-05-15,2.53125
1992-05-18,2.453125
1992-05-19,2.5
1992-05-20,2.5625
1992-05-21,2.5625
1992-05-22,2.6875
1992-05-26,2.53125
1992-05-27,2.515625
1992-05-28,2.53125
1992-05-29,2.6875
1992-06-01,2.9375
1992-06-02,2.859375
1992-06-03,2.78125
1992-06-04,2.84375
1992-06-05,2.796875
1992-06-08,2.84375
1992-06-09,2.75
1992-06-10,2.65625
1992-06-11,2.625
1992-06-12,2.71875
1992-06-15,2.71875
1992-06-16,2.75
1992-06-17,2.578125
1992-06-18,2.515625
1992-06-19,2.75
1992-06-22,2.78125
1992-06-23,2.625
1992-06-24,2.75
1992-06-25,2.65625
1992-06-26,2.6875
1992-06-29,2.8125
1992-06-30,2.96875
1992-07-01,3.0
1992-07-02,2.875
1992-07-06,2.84375
1992-07-07,2.59375
1992-07-08,2.65625
1992-07-09,2.8125
1992-07-10,2.84375
1992-07-13,2.875
1992-07-14,2.8125
1992-07-15,2.671875
1992-07-16,2.703125
1992-07-17,2.65625
1992-07-20,2.84375
1992-07-21,2.78125
1992-07-22,2.9375
1992-07-23,3.125
1992-07-24,3.28125
1992-07-27,3.40625
1992-07-28,3.40625
1992-07-29,3.59375
1992-07-30,3.5
1992-07-31,3.640625
1992-08-03,3.65625
1992-08-04,3.5625
1992-08-05,3.546875
1992-08-06,3.53125
1992-08-07,3.46875
1992-08-10,3.375
1992-08-11,3.484375
1992-08-12,3.4375
1992-08-13,3.375
1992-08-14,3.40625
1992-08-17,3.40625
1992-08-18,3.390625
1992-08-19,3.3125
1992-08-20,3.46875
1992-08-21,3.46875
1992-08-24,3.21875
1992-08-25,3.375
1992-08-26,3.34375
1992-08-27,3.3125
1992-08-28,3.28125
1992-08-31,3.359375
1992-09-01,3.25
1992-09-02,3.46875
1992-09-03,3.46875
1992-09-04,3.46875
1992-09-08,3.5
1992-09-09,3.53125
1992-09-10,3.75
1992-09-11,4.0
1992-09-14,4.296875
1992-09-15,4.0625
1992-09-16,4.0
1992-09-17,4.0625
1992-09-18,4.09375
1992-09-21,4.0625
1992-09-22,3.875
1992-09-23,3.6875
1992-09-24,3.75
1992-09-25,3.515625
1992-09-28,3.59375
1992-09-29,3.8125
1992-09-30,3.875
1992-10-01,3.875
1992-10-02,3.78125
1992-10-05,3.671875
1992-10-06,3.96875
1992-10-07,3.9375
1992-10-08,4.09375
1992-10-09,4.28125
1992-10-12,3.8125
1992-10-13,3.90625
1992-10-14,3.96875
1992-10-15,3.90625
1992-10-16,4.0625
1992-10-19,4.046875
1992-10-20,4.125
1992-10-21,4.15625
1992-10-22,4.328125
1992-10-23,4.375
1992-10-26,4.09375
1992-10-27,4.03125
1992-10-28,4.0
1992-10-29,4.0625
1992-10-30,4.0625
1992-11-02,3.6875
1992-11-03,3.75
1992-11-04,3.71875
1992-11-05,3.65625
1992-11-06,3.6875
