Date,BRK-B
1998-04-08,46.240002000000004
1998-04-09,46.639998999999996
1998-04-13,46.66
1998-04-14,47.200001
1998-04-15,47.419998
1998-04-16,47.139998999999996
1998-04-17,47.16
1998-04-20,46.959998999999996
1998-04-21,45.880001
1998-04-22,44.34
1998-04-23,44.16
1998-04-24,45.599998
1998-04-27,44.299999
1998-04-28,45.16
1998-04-29,45.400002
1998-04-30,45.900002
1998-05-01,46.099998
1998-05-04,46.16
1998-05-05,46.220001
1998-05-06,46.355625
1998-05-07,46.66
1998-05-08,46.740002000000004
1998-05-11,46.919998
1998-05-12,46.900002
1998-05-13,47.18
1998-05-14,48.759997999999996
1998-05-15,49.619999
1998-05-18,48.400002
1998-05-19,48.119999
1998-05-20,48.32
1998-05-21,48.34
1998-05-22,47.580002
1998-05-26,47.66
1998-05-27,46.900002
1998-05-28,46.759997999999996
1998-05-29,46.959998999999996
1998-06-01,47.16
1998-06-02,49.119999
1998-06-03,50.200001
1998-06-04,50.959998999999996
1998-06-05,51.200001
1998-06-08,52.200001
1998-06-09,51.919998
1998-06-10,51.34
1998-06-11,51.200001
1998-06-12,51.080002
1998-06-15,50.099998
1998-06-16,51.240002000000004
1998-06-17,52.32
1998-06-18,52.759997999999996
1998-06-19,54.099998
1998-06-22,51.900002
1998-06-23,52.419998
1998-06-24,52.259997999999996
1998-06-25,52.040001000000004
1998-06-26,52.119999
1998-06-29,52.279999
1998-06-30,52.259997999999996
1998-07-01,52.060001
1998-07-02,51.759997999999996
1998-07-06,52.32
1998-07-07,51.959998999999996
1998-07-08,51.98
1998-07-09,51.740002000000004
1998-07-10,51.580002
1998-07-13,51.360001000000004
1998-07-14,51.400002
1998-07-15,50.98
1998-07-16,50.700001
1998-07-17,50.48
1998-07-20,50.900002
1998-07-21,50.16
1998-07-22,49.02
1998-07-23,48.060001
1998-07-24,48.259997999999996
1998-07-27,47.279999
1998-07-28,46.18
1998-07-29,45.959998999999996
1998-07-30,46.400002
1998-07-31,46.84
1998-08-03,47.299999
1998-08-04,46.240002000000004
1998-08-05,46.080002
1998-08-06,45.52
1998-08-07,46.799999
1998-08-10,46.900002
1998-08-11,46.16
1998-08-12,45.98
1998-08-13,46.5
1998-08-14,46.540001000000004
1998-08-17,46.459998999999996
1998-08-18,48.060001
1998-08-19,48.200001
1998-08-20,47.540001000000004
1998-08-21,46.32
1998-08-24,46.259997999999996
1998-08-25,46.66
1998-08-26,46.48
1998-08-27,45.060001
1998-08-28,42.560001
1998-08-31,40.16
1998-09-01,40.68
1998-09-02,42.599998
1998-09-03,40.5
1998-09-04,39.799999
1998-09-08,40.619999
1998-09-09,40.0
1998-09-10,38.540001000000004
1998-09-11,38.400002
1998-09-14,40.099998
1998-09-15,39.580002
1998-09-16,40.360001000000004
1998-09-17,39.639998999999996
1998-09-18,39.400002
1998-09-21,39.32
1998-09-22,39.400002
1998-09-23,40.639998999999996
1998-09-24,40.580002
1998-09-25,40.0
1998-09-28,40.740002000000004
1998-09-29,40.759997999999996
1998-09-30,39.860001000000004
1998-10-01,38.740002000000004
1998-10-02,39.299999
1998-10-05,39.66
1998-10-06,40.380001
1998-10-07,39.900002
1998-10-08,39.099998
1998-10-09,40.860001000000004
1998-10-12,41.380001
1998-10-13,41.720001
1998-10-14,43.439999
1998-10-15,45.200001
1998-10-16,44.400002
1998-10-19,44.18
1998-10-20,43.52
1998-10-21,42.720001
1998-10-22,42.279999
1998-10-23,41.959998999999996
1998-10-26,41.639998999999996
1998-10-27,41.5
1998-10-28,41.18
1998-10-29,42.16
1998-10-30,42.959998999999996
1998-11-02,43.139998999999996
1998-11-03,44.720001
1998-11-04,45.700001
1998-11-05,45.34
1998-11-06,45.32
1998-11-09,44.799999
1998-11-10,44.560001
1998-11-11,44.52
1998-11-12,44.560001
1998-11-13,44.259997999999996
1998-11-16,44.540001000000004
1998-11-17,44.48
1998-11-18,44.66
1998-11-19,44.5
1998-11-20,44.880001
1998-11-23,46.720001
1998-11-24,46.099998
1998-11-25,46.16
1998-11-27,46.139998999999996
1998-11-30,45.02
1998-12-01,45.18
1998-12-02,44.599998
1998-12-03,44.48
1998-12-04,44.540001000000004
1998-12-07,44.279999
1998-12-08,43.02
1998-12-09,42.48
1998-12-10,41.740002000000004
1998-12-11,40.48
1998-12-14,41.82
1998-12-15,42.200001
1998-12-16,42.34
1998-12-17,41.099998
1998-12-18,40.240002000000004
1998-12-21,39.119999
1998-12-22,39.700001
1998-12-23,42.799999
1998-12-24,45.060001
1998-12-28,45.060001
1998-12-29,45.080002
1998-12-30,45.700001
1998-12-31,47.0
1999-01-04,46.599998
1999-01-05,45.540001000000004
1999-01-06,45.139998999999996
1999-01-07,44.080002
1999-01-08,43.5
1999-01-11,41.759997999999996
1999-01-12,41.779999
1999-01-13,41.759997999999996
1999-01-14,42.099998
1999-01-15,42.560001
1999-01-19,42.119999
1999-01-20,42.540001000000004
1999-01-21,41.700001
1999-01-22,41.5
1999-01-25,42.599998
1999-01-26,42.32
1999-01-27,42.139998999999996
1999-01-28,42.880001
1999-01-29,43.0
1999-02-01,45.98
1999-02-02,49.360001000000004
1999-02-03,50.560001
1999-02-04,47.66
1999-02-05,47.52
1999-02-08,48.560001
1999-02-09,47.98
1999-02-10,48.18
1999-02-11,48.299999
1999-02-12,47.48
1999-02-16,47.740002000000004
1999-02-17,47.419998
1999-02-18,47.720001
1999-02-19,48.099998
1999-02-22,48.040001000000004
1999-02-23,47.84
1999-02-24,48.099998
1999-02-25,47.959998999999996
1999-02-26,47.580002
1999-03-01,47.799999
1999-03-02,48.459998999999996
1999-03-03,48.18
1999-03-04,48.48
1999-03-05,48.259997999999996
1999-03-08,48.740002000000004
1999-03-09,48.380001
1999-03-10,49.080002
1999-03-11,50.060001
1999-03-12,52.84
1999-03-15,49.599998
1999-03-16,48.0
1999-03-17,50.0
1999-03-18,51.799999
1999-03-19,50.939999
1999-03-22,50.700001
1999-03-23,49.0
1999-03-24,48.639998999999996
1999-03-25,48.560001
1999-03-26,48.0
1999-03-29,48.52
1999-03-30,47.34
1999-03-31,47.02
1999-04-01,48.599998
1999-04-05,47.639998999999996
1999-04-06,47.0
1999-04-07,46.599998
1999-04-08,47.040001000000004
1999-04-09,46.959998999999996
1999-04-12,47.279999
1999-04-13,46.98
1999-04-14,46.900002
1999-04-15,47.139998999999996
1999-04-16,48.0
1999-04-19,48.119999
1999-04-20,48.119999
1999-04-21,49.099998
1999-04-22,49.740002000000004
1999-04-23,49.48
1999-04-26,49.68
1999-04-27,49.799999
1999-04-28,49.68
1999-04-29,49.299999
1999-04-30,49.400002
1999-05-03,49.0
1999-05-04,49.16
1999-05-05,49.900002
1999-05-06,49.799999
1999-05-07,49.599998
1999-05-10,49.82
1999-05-11,50.740002000000004
1999-05-12,50.119999
1999-05-13,48.959998999999996
1999-05-14,47.959998999999996
1999-05-17,46.939999
1999-05-18,47.48
1999-05-19,48.240002000000004
1999-05-20,48.0
1999-05-21,48.619999
1999-05-24,48.02
1999-05-25,47.48
1999-05-26,47.0
1999-05-27,46.380001
1999-05-28,46.360001000000004
1999-06-01,46.220001
1999-06-02,46.32
1999-06-03,46.16
1999-06-04,46.740002000000004
1999-06-07,47.700001
1999-06-08,47.880001
1999-06-09,47.200001
1999-06-10,46.619999
1999-06-11,46.439999
1999-06-14,45.98
1999-06-15,46.299999
1999-06-16,46.5
1999-06-17,46.439999
1999-06-18,45.5
1999-06-21,45.799999
1999-06-22,44.939999
1999-06-23,45.259997999999996
1999-06-24,44.700001
1999-06-25,44.580002
1999-06-28,44.400002
1999-06-29,44.84
1999-06-30,44.799999
1999-07-01,44.919998
1999-07-02,45.560001
1999-07-06,45.98
1999-07-07,46.380001
1999-07-08,46.380001
1999-07-09,45.82
